,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*enseñarles* (enseñar),"*teach them*
",*teach them*,enseñar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=enseñarles,


1,*comenzaron* (comenzar),"*started*
verb: start, begin, commence",*started*,comenzar,"[['start', 'begin', 'commence', 'initiate', 'launch', 'open', 'start up', 'kick off', 'take up', 'dawn', 'open up', 'lead off', 'come on', 'enter on', 'turn to', 'take to', 'institute', 'light']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=comenzaron,"verb: start, begin, commence"


2,*cerradas* (cerrado),"*closed*
verb: close, shut, shut down",*closed*,cerrado,"[['close', 'shut', 'shut down', 'lock', 'close down', 'seal', 'turn off', 'block', 'stop', 'seal off', 'fasten', 'zip', 'lock out', 'zip up', 'obstruct', 'jam', 'zip shut', 'put through']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=cerradas,"verb: close, shut, shut down"


3,*celosa* (celoso),"*jealous*
adjective: jealous, zealous, mettlesome",*jealous*,celoso,"[['jealous', 'zealous', 'mettlesome', 'mettled']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=celosa,"adjective: jealous, zealous, mettlesome"


4,*batallón*,"*battalion*
noun: battalion",*battalion*,batallón,[['battalion']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=batallón,noun: battalion


5,*atrae* (atraer),"*attracts*
verb: attract, draw, lure",*attracts*,atraer,"[['attract', 'draw', 'lure', 'appeal', 'entice', 'engage', 'bring in', 'pull', 'appeal to', 'draw in', 'pull in', 'allure', 'tempt', 'beckon', 'invoke', 'inveigle', 'beat up']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=atrae,"verb: attract, draw, lure"


6,*apresúrate* (apresurar),"*hurry up*
",*hurry up*,apresurar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=apresúrate,


7,*rojos* (rojo),"*reds*
adjective: red, ruddy, ginger
noun: red",*reds*,rojo,"[['red', 'ruddy', 'ginger', 'fiery'], ['red']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=rojos,"adjective: red, ruddy, ginger
noun: red"


8,*ofender*,"*to offend*
verb: offend, insult, give offense",*to offend*,ofender,"[['offend', 'insult', 'give offense', 'injure', 'affront', 'slight', 'displease', 'abuse', 'aggrieve', 'miff', 'be wrong', ""hurt one's feelings""]]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=ofender,"verb: offend, insult, give offense"


9,*novela*,"*novel*
noun: novel, story, romance",*novel*,novela,"[['novel', 'story', 'romance']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=novela,"noun: novel, story, romance"


10,*nazis* (nazi),"*nazis*
adjective: Nazi
noun: Nazi",*nazis*,nazi,"[['Nazi'], ['Nazi']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=nazis,"adjective: Nazi
noun: Nazi"


