,Dutch
0,kwetsbaar
1,nucleaire
2,freak
3,slaag
4,bevroren
5,herkende
6,innemen
7,veertien
8,zochten
9,bedank
10,achtervolgen
11,vergunning
12,gij
13,menigte
14,herhalen
15,Italië
16,stille
17,Brooklyn
18,plaat
19,regelt
20,autoriteiten
21,intelligent
22,jood
23,gebeden
24,apen
25,weigert
26,beroven
27,blanken
28,modder
29,gewapende
30,goedmaken
31,vampiers
32,schuilplaats
33,bewaken
34,verbazingwekkend
35,verf
36,Jamal
37,tijger
38,mode
39,volwassenen
40,overdreven
41,Shane
42,woning
43,agenda
44,opsluiten
45,drankjes
46,doorstaan
47,telefoons
48,kick
49,Meredith
50,lesje
51,diamant
52,stapt
53,maatschappij
54,pet
55,gids
56,ticket
57,delict
58,schouders
59,revolutie
60,verslaafd
61,cultuur
62,besproken
63,gene
64,revolver
65,prijzen
66,geland
67,staal
68,sms
69,broodje
70,Trevor
71,afspreken
72,metaal
73,teruggeven
74,gesneden
75,Shrek
76,getroffen
77,undercover
78,bossen
79,haak
80,griet
81,Moskou
82,krijt
83,algemeen
84,Spock
85,actrice
86,Jess
87,redding
88,legde
89,zinloos
90,dertien
91,cocaïne
92,plots
93,gevolg
94,troon
95,non
96,klappen
97,zeuren
