,Dutch
0,eind
1,deden
2,mijne
3,gooi
4,gast
5,zul
6,muur
7,dode
8,gewerkt
9,kende
10,ma
11,brand
12,sluit
13,zon
14,diep
15,arme
16,bureau
17,partner
18,zeiden
19,boord
20,deal
21,leggen
22,bom
23,rijk
24,meiden
25,held
26,klote
27,spreekt
28,vijand
29,schoenen
30,gewonnen
31,gebied
32,operatie
33,volk
34,bewegen
35,keek
36,speel
37,zuster
38,gelezen
39,achteruit
40,trein
41,extra
42,lijk
43,bereiken
44,zee
45,cool
46,broek
47,aanval
48,neus
49,oma
50,systeem
51,kalm
52,code
53,sergeant
54,hoog
55,draai
56,slachtoffer
57,les
58,uiteindelijk
59,verdwenen
60,eiland
61,geschreven
62,gewond
63,plannen
64,spul
65,uitleggen
66,haast
67,liegen
68,la
69,vertaling
70,beloofd
71,rode
72,bracht
73,paard
74,winkel
75,warm
76,ex
77,moeite
78,camera
79,tijdje
80,interessant
81,geheime
82,hoeven
83,feestje
84,persoonlijk
85,gedownload
86,vrede
87,lot
88,keus
89,bus
90,club
91,gevecht
92,weggaan
93,daarvan
94,brief
95,lastig
96,raam
97,levend
98,professor
99,kiezen
