,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
0,0,600,nieuw,28626,adjective,nieuw,new novel fresh
1,1,601,elk,28596,pronoun,elk,each any everyone
2,2,602,erin,28567,No Google Info,No Google Info,No Google Info
3,3,603,ontmoeten,28519,verb,ontmoeten,meet encounter see
4,4,604,vechten,28506,verb,vechten,fight battle combat
5,5,605,voorzichtig,28378,adjective,voorzichtig,careful cautious prudent
6,6,606,geworden,28370,verb,worden,be become get
7,7,607,enkel,28204,adjective,enkel,only single one
8,8,608,kwijt,28134,adjective,kwijt,lost
9,9,609,noemen,28031,verb,noemen,call mention name
10,10,610,valt,27984,verb,vallen,fall drop fall down
11,11,611,prachtig,27978,adjective,prachtig,wonderful magnificent gorgeous
12,12,612,rijden,27944,verb,rijden,ride drive away tool
13,13,613,zin,27837,noun,zin,sense sentence want
14,14,614,hield,27783,verb,houden,keep hold retain
15,15,615,daarna,27523,adverb,daarna,then after thereafter
16,16,616,mens,27427,noun,mens,man person woman
17,17,617,schieten,27073,verb,schieten,shoot fire gun
18,18,618,grappig,27044,adjective,grappig,funny comic amusing
19,19,619,stap,26802,noun,stap,step move pace
20,20,620,zichzelf,26750,pronoun,zichzelf,himself themselves itself
21,21,621,kantoor,26717,noun,kantoor,office bureau shop
22,22,622,wapens,26652,noun,wapen,weapon arm weaponry
23,23,623,normaal,26650,adjective,normaal,normal standard ordinary
24,24,624,slechte,26611,adjective,slecht,bad evil ill
25,25,625,maakte,26600,verb,maken,make do build
26,26,626,moord,26566,noun,moord,murder assassination
27,27,627,gebeld,26509,verb,bellen,dial clang clank
28,28,628,ervoor,26424,No Google Info,No Google Info,No Google Info
29,29,629,ten,26269,No Google Info,No Google Info,No Google Info
30,30,630,heer,26242,noun,heer,lord gentleman master
31,31,631,loopt,26221,verb,lopen,walk run foot
32,32,632,einde,26138,noun,einde,end ending close
33,33,633,gegaan,26104,verb,gaan,go proceed work
34,34,634,gang,26099,noun,gang,corridor walk hallway
35,35,635,vertelde,26079,verb,vertellen,tell relate narrate
36,36,636,spel,25676,noun,spel,game play performance
37,37,637,informatie,25674,noun,informatie,information conversance
38,38,638,frank,25625,No Google Info,No Google Info,No Google Info
39,39,639,dames,25561,adjective,dames-,lady's
40,40,640,naartoe,25478,preposition,naar toe,to towards toward
41,41,641,allebei,25469,adjective,allebei,both
42,42,642,leg,25435,noun,leg,lay
43,43,643,acht,25262,noun,acht,eight attention care
44,44,644,pap,25250,noun,pap,porridge pap gruel
45,45,645,seks,25173,noun,seks,sex pork
46,46,646,minder,25151,adjective,minder,less lesser minor
47,47,647,gevoel,25137,noun,gevoel,feeling sense sensation
48,48,648,trouwen,25044,verb,trouwen,marry wed marry off
49,49,649,nogal,25035,adverb,nogal,rather quite some
50,50,650,eh,25007,No Google Info,No Google Info,No Google Info
51,51,651,voelen,24924,verb,voelen,feel sense emote
52,52,652,begint,24760,verb,beginnen,start begin commence
53,53,653,plezier,24708,noun,plezier,fun pleasure
54,54,654,meisjes,24686,adjective,meisjes-,girlish maiden
55,55,655,stuur,24661,noun,stuur,steering wheel handlebar helm
56,56,656,foto,24485,noun,foto,photo photograph
57,57,657,vreemd,24462,adjective,vreemd,strange foreign alien
