French,Translation
blague,
avenir,
beauté,
laisse,
course,
manière,
traverser,
expérience,
soin,
hors,
cour,
gauche,
stupide,
retenir,
liste,
remonter,
réaliser,
i,
moquer,
étudier,
installer,
courage,
bleu,
secours,
milieu,
proposer,
m,
contact,
inspecteur,
mignon,
projet,
probablement,
rôle,
risque,
action,
ange,
avance,
intéressant,
parmi,
langue,
emporter,
thé,
colère,
départ,
époque,
engager,
voleur,
cesser,
tort,
vacance,
là-haut,
machine,
signifier,
réparer,
construire,
pain,
bar,
chier,
club,
été,
horrible,
profiter,
pierre,
pleuvoir,
plusieurs,
salope,
tel,
glace,
décision,
juge,
contrôle,
séparer,
sept,
maladie,
quartier,
désirer,
travers,
dommage,
cigarette,
traîner,
respecter,
époux,
tas,
enfuir,
diriger,
crever,
fil,
combat,
poursuivre,
morceau,
église,
directeur,
demande,
forcer,
bombe,
j,
espoir,
tueur,
grandir,
dimanche,Sunday
