Rank,Dutch,Frequency,CUMSUM,CUM%,GTInfo,Translation
0,ik,7840843,7840843,4.8074673768854295,"Translated(src=nl, dest=en, text=I, pronunciation=I, extra_data=""{'translat..."")","pronoun: I, me.  "
1,je,7242582,15083425,9.24812212401117,"Translated(src=nl, dest=en, text=you, pronunciation=you, extra_data=""{'translat..."")","pronoun: you, your.  "
2,het,5233420,20316845,12.456896476404113,"Translated(src=nl, dest=en, text=the  , pronunciation=the  , extra_data=""{'translat..."")",article: the.  pronoun: it.  
3,de,5171977,25488822,15.627998193592147,"Translated(src=nl, dest=en, text=the, pronunciation=the, extra_data=""{'translat..."")","article: the, ye.  "
4,dat,4505789,29994611,18.390639101544163,"Translated(src=nl, dest=en, text=Which, pronunciation=Which, extra_data=""{'translat..."")","conjunction: that, which.  pronoun: that, which.  "
5,is,4439481,34434092,21.112624489824825,"Translated(src=nl, dest=en, text=is, pronunciation=is, extra_data=""{'translat..."")",verb: be.  
6,een,3715858,38149950,23.390933864485014,"Translated(src=nl, dest=en, text=a, pronunciation=a, extra_data=""{'translat..."")","article: a, an.  noun: one.  pronoun: any.  "
7,niet,3678884,41828834,25.64657331720021,"Translated(src=nl, dest=en, text=not , pronunciation=not , extra_data=""{'translat..."")","adverb: not, no.  noun: rivet, clench.  "
8,en,2800789,44629623,27.363825116150856,"Translated(src=nl, dest=en, text=and, pronunciation=and, extra_data=""{'translat..."")",conjunction: and.  
9,wat,2228941,46858564,28.73045892612542,"Translated(src=nl, dest=en, text=what, pronunciation=what, extra_data=""{'translat..."")","conjunction: what, which.  pronoun: what, which.  adjective: some.  adverb: few.  "
10,van,2209684,49068248,30.085285663916967,"Translated(src=nl, dest=en, text=from, pronunciation=from, extra_data=""{'translat..."")","preposition: of, from.  noun: surname.  "
11,we,2076863,51145111,31.358675670420148,"Translated(src=nl, dest=en, text=we, pronunciation=we, extra_data=""{'translat..."")",pronoun: we.  
12,in,1963658,53108769,32.56265613200573,"Translated(src=nl, dest=en, text=in, pronunciation=in, extra_data=""{'translat..."")","preposition: in, into.  "
13,ze,1789915,54898684,33.66010929742402,"Translated(src=nl, dest=en, text=they, pronunciation=they, extra_data=""{'translat..."")","pronoun: they, she.  "
14,hij,1719998,56618682,34.71469415179596,"Translated(src=nl, dest=en, text=he, pronunciation=he, extra_data=""{'translat..."")","pronoun: he, it.  "
15,op,1696645,58315327,35.754960547597506,"Translated(src=nl, dest=en, text=on, pronunciation=on, extra_data=""{'translat..."")","adverb: on, up.  preposition: on, at.  adjective: spent, exhausted.  "
16,te,1691827,60007154,36.79227287611039,"Translated(src=nl, dest=en, text=at, pronunciation=at, extra_data=""{'translat..."")","particle: to.  adverb: too.  preposition: in, at.  prefix: over-.  "
17,zijn,1681160,61688314,37.82304493152901,"Translated(src=nl, dest=en, text=to be, pronunciation=to be, extra_data=""{'translat..."")","pronoun: his, its.  verb: be.  noun: entity.  "
18,er,1615173,63303487,38.81335828246923,"Translated(src=nl, dest=en, text=there, pronunciation=there, extra_data=""{'translat..."")","adverb: there, yonder.  "
19,maar,1598672,64902159,39.79355435148122,"Translated(src=nl, dest=en, text=but, pronunciation=but, extra_data=""{'translat..."")","conjunction: but, only.  preposition: but.  adverb: only, however.  adjective: mere.  noun: battleship.  "
20,die,1434016,66336175,40.67279464974146,"Translated(src=nl, dest=en, text=That, pronunciation=That, extra_data=""{'translat..."")","pronoun: that, which.  conjunction: which, who.  "
21,heb,1429701,67765876,41.54938928582848,"Translated(src=nl, dest=en, text=have, pronunciation=have, extra_data=""{'translat..."")","verb: have, possess.  "
22,me,1411318,69177194,42.414712726613,"Translated(src=nl, dest=en, text=me, pronunciation=me, extra_data=""{'translat..."")","pronoun: me, I.  "
23,met,1395328,70572522,43.27023219563627,"Translated(src=nl, dest=en, text=of, pronunciation=of, extra_data=""{'translat..."")","preposition: with, by.  adverb: along with.  "
24,voor,1389735,71962257,44.122322420503146,"Translated(src=nl, dest=en, text=in front of, pronunciation=in front of, extra_data=""{'translat..."")","preposition: for, prior to.  adverb: before, ahead.  noun: furrow, grip.  conjunction: ere.  "
25,als,1273513,73235770,44.90315328289122,"Translated(src=nl, dest=en, text=if, pronunciation=if, extra_data=""{'translat..."")","adverb: as.  conjunction: as, if.  preposition: like.  "
26,ben,1144955,74380725,45.605161193329145,"Translated(src=nl, dest=en, text=ben, pronunciation=ben, extra_data=""{'translat..."")",noun: basket.  
27,was,1031488,75412213,46.237598918411614,"Translated(src=nl, dest=en, text=used to be, pronunciation=used to be, extra_data=""{'translat..."")","noun: wash, wax.  "
28,dit,1012898,76425111,46.85863852998303,"Translated(src=nl, dest=en, text=this, pronunciation=this, extra_data=""{'translat..."")","pronoun: this, it.  "
29,mijn,961659,77386770,47.44826189958606,"Translated(src=nl, dest=en, text=mine, pronunciation=mine, extra_data=""{'translat..."")","pronoun: my, mine.  noun: mine, pit.  "
30,om,950863,78337633,48.03126590213877,"Translated(src=nl, dest=en, text=to, pronunciation=to, extra_data=""{'translat..."")","preposition: to, for.  adverb: around, about.  "
31,aan,939521,79277154,48.607315767873715,"Translated(src=nl, dest=en, text=at, pronunciation=at, extra_data=""{'translat..."")","preposition: to, on.  "
32,jij,928107,80205261,49.176367351327045,"Translated(src=nl, dest=en, text=you, pronunciation=you, extra_data=""{'translat..."")","pronoun: you, thou.  "
33,naar,908546,81113807,49.733425470638934,"Translated(src=nl, dest=en, text=nasty, pronunciation=nasty, extra_data=""{'translat..."")","preposition: to, for.  adverb: along.  adjective: sick, bleak.  "
34,dan,904663,82018470,50.28810280056064,"Translated(src=nl, dest=en, text=then, pronunciation=then, extra_data=""{'translat..."")","conjunction: than.  adverb: then, subsequently.  "
35,hier,892773,82911243,50.835489997634234,"Translated(src=nl, dest=en, text=here, pronunciation=here, extra_data=""{'translat..."")",adverb: here.  
36,weet,870605,83781848,51.369285296896486,"Translated(src=nl, dest=en, text=know, pronunciation=know, extra_data=""{'translat..."")","verb: know, wit.  "
37,kan,827534,84609382,51.876672411810475,"Translated(src=nl, dest=en, text=can, pronunciation=can, extra_data=""{'translat..."")","noun: can, jug.  "
38,geen,799250,85408632,52.366717717012435,"Translated(src=nl, dest=en, text=no, pronunciation=no, extra_data=""{'translat..."")","adjective: no, none.  adverb: no, not.  pronoun: no, none.  "
39,nog,792339,86200971,52.85252567081715,"Translated(src=nl, dest=en, text=yet, pronunciation=yet, extra_data=""{'translat..."")","adverb: yet, still.  adjective: other.  "
40,moet,762775,86963746,53.32020700666379,"Translated(src=nl, dest=en, text=must, pronunciation=must, extra_data=""{'translat..."")","noun: must, blot.  "
41,wil,759522,87723268,53.78589382592886,"Translated(src=nl, dest=en, text=want, pronunciation=want, extra_data=""{'translat..."")","noun: will, willingness.  "
42,wel,758242,88481510,54.25079583694787,"Translated(src=nl, dest=en, text=well, pronunciation=well, extra_data=""{'translat..."")","adjective: well.  adverb: well, surely.  noun: well, daresay.  conjunction: as many as.  "
43,ja,746431,89227941,54.70845615250271,"Translated(src=nl, dest=en, text=Yes, pronunciation=Yes, extra_data=""{'translat..."")","particle: yes, yeah.  "
44,zo,746139,89974080,55.165937433676426,"Translated(src=nl, dest=en, text=like this, pronunciation=like this, extra_data=""{'translat..."")","adverb: so, that.  conjunction: if.  preposition: like.  "
45,heeft,735768,90709848,55.617059928662776,"Translated(src=nl, dest=en, text=has, pronunciation=has, extra_data=""{'translat..."")","verb: have, possess.  "
46,hebben,732206,91442054,56.0659984494519,"Translated(src=nl, dest=en, text=to have, pronunciation=to have, extra_data=""{'translat..."")","auxiliary verb: have.  verb: have, possess.  "
47,hem,730248,92172302,56.51373645887714,"Translated(src=nl, dest=en, text=it, pronunciation=it, extra_data=""{'translat..."")","pronoun: him, to him.  "
48,goed,711659,92883961,56.950076967922776,"Translated(src=nl, dest=en, text=good  , pronunciation=good  , extra_data=""{'translat..."")","adjective: good, well.  adverb: well, okay.  noun: estate, stuff.  "
49,nee,663369,93547330,57.35680935962315,"Translated(src=nl, dest=en, text=no, pronunciation=no, extra_data=""{'translat..."")",particle: no.  adverb: not.  
50,waar,634748,94182078,57.74599331631546,"Translated(src=nl, dest=en, text=Where, pronunciation=Where, extra_data=""{'translat..."")","adverb: where, whereabouts.  conjunction: where, whereabouts.  adjective: true, real.  noun: merchandise, ware.  "
51,nu,633525,94815603,58.13442741325394,"Translated(src=nl, dest=en, text=now, pronunciation=now, extra_data=""{'translat..."")","adverb: now, nowadays.  "
52,hoe,632454,95448057,58.52220484641778,"Translated(src=nl, dest=en, text=how, pronunciation=how, extra_data=""{'translat..."")",adverb: how.  
