,word,English
2000,borracho,drunk
2001,regresen,come back
2002,váyanse,go away
2003,sentía,felt
2004,resultado,result
2005,parado,stopped
2006,olvides,forget
2007,mirada,look
2008,inútil,Useless
2009,acabas,you finish
2010,ciencia,science
2011,perdiste,you lost
2012,sociedad,society
2013,regrese,I am back
2014,camioneta,van
2015,coño,cone
2016,revista,magazine
2017,pareció,it seemed
2018,montaña,mountain
2019,maravillosa,wonderful
2020,dejarlo,quit
2021,máximo,maximum
2022,echar,throw
2023,corriente,stream
2024,escuchando,listening
2025,disculpas,apologies
2026,cadáver,corpse
2027,seguimos,we continue
2028,ron,Ron
2029,espectáculo,show
2030,mundial,world
2031,francia,France
2032,decirles,tell them
2033,aspecto,appearance
2034,presencia,presence
2035,famoso,famous
2036,corto,short
2037,relájate,just relax
2038,poderoso,powerful
2039,recuerdos,regards
2040,llego,arrived
2041,carretera,highway
2042,pasé,happens
2043,oigo,i hear
2044,esperamos,we wait
2045,escuchado,listened
2046,cable,cable
2047,rosa,rose
2048,bola,ball
2049,oferta,offer
2050,intentarlo,try it
2051,habido,been
2052,continuar,continue
2053,ladrón,thief
2054,humanidad,humanity
2055,estómago,stomach
2056,entera,whole
2057,contó,counted
2058,poniendo,putting up
2059,mercado,market
2060,granja,farm
2061,idiotas,idiots
2062,hablemos,let's talk
2063,estudiante,student
2064,siglo,century
2065,relaciones,relations
2066,hablan,they speak
2067,nosotras,we
2068,miembro,member
2069,fortuna,fortune
2070,libres,free
2071,acciones,Actions
2072,esperas,you wait
2073,suficientemente,enough
2074,llevaron,led
2075,ocurrido,happened
2076,andar,walk
2077,perfectamente,perfectly
2078,pasan,pass
2079,jardín,yard
2080,cola,tail
2081,resultados,results
2082,francés,French
2083,troya,troy
2084,tercera,third
2085,entrenamiento,training
2086,azúcar,sugar
2087,metido,stuck
2088,ayudarlo,help him
2089,diles,tell them
2090,coger,take
2091,lunes,Monday
2092,ey,Hey
2093,intención,intention
2094,volviendo,getting back
2095,efectivo,cash
2096,salgamos,let's go out
2097,preguntaba,I was asking
2098,olvida,forget
2099,helicóptero,helicopter
2100,fuertes,powerful
2101,encantador,charming
2102,original,original
2103,cadena,string
2104,tarea,task
2105,dispara,shoot
2106,corta,short
2107,compañeros,companions
2108,cirugía,surgery
2109,quítate,take off
2110,querían,wanted
2111,precioso,beautiful
2112,lord,lord
2113,comenzó,started
2114,truco,trick
2115,inspector,inspector
2116,enojado,annoyed
2117,felicidades,Congratulations
2118,desaparecido,missing
2119,acto,act
2120,pollo,chicken
2121,chocolate,chocolate
2122,adonde,where to
2123,resulta,result
2124,merece,deserves
2125,gas,gas
2126,examen,test
2127,vean,see
2128,tonta,silly
2129,importantes,important
2130,apuesta,bet
2131,directamente,directly
2132,recuperar,retrieve
2133,pongo,I put
2134,llegaron,they arrived
2135,cobarde,coward
2136,cantidad,amount
2137,sucio,dirty
2138,habia,there were
2139,emperador,emperor
2140,mono,bow
2141,encontraremos,we will find
2142,disparen,shoot
2143,gloria,glory
2144,contrario,contrary
2145,socorro,Help
2146,sir,sir
2147,escaleras,ladders
2148,pasos,Steps
2149,nuevamente,again
2150,derechos,Rights
2151,obtener,get
2152,guste,like
