,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Dutch,Sentence
0,0,0,0,0,ik,en verdrietig. - I am sad.
1,1,1,1,1,je,ent mijn beste vriend. - You are my best friend.
2,2,2,2,2,het,is een mooie dag. - It is a beautiful day.
3,3,3,3,3,de,at loopt door de tuin. - The cat is walking through the garden.
4,4,4,4,4,dat," is mijn huis."" - That is my house."
5,5,5,5,5,is,is een mooie dag. - It is a beautiful day.
6,6,6,6,6,een,appel per dag houdt de dokter weg. - An apple a day keeps the doctor away.
7,7,7,7,7,niet,"heb niet veel tijd."" - I don't have much time."
8,8,8,8,8,en,is warm en zonnig. - It is warm and sunny.
9,9,9,9,9,wat," ga je doen?"" - What are you going to do?"
10,10,10,10,10,van,"mijn vrienden hou ik het meest van jou. - Of all my friends, I like you the most."
11,11,11,11,11,we,aan naar de bioscoop. - We are going to the movies.
12,12,12,12,12,in,en in de stad. - I am in the city.
13,13,13,13,13,ze,eeft een grote lach. - She has a big laugh.
14,14,14,14,14,hij,rent naar school. - He runs to school.
15,15,15,15,15,op,ta op om te gaan lopen. - I'm getting up to go for a walk.
16,16,16,16,16,te,eb te veel gegeten. - I ate too much.
17,17,17,17,17,zijn,is mijn broer. - He is my brother.
18,18,18,18,18,er,s geen tijd om te wachten - There is no time to wait.
19,19,19,19,19,maar,"moet helaas maar gaan,"" - ""Unfortunately, I have to go."""
20,20,20,20,20,die," kat is zwart."" - ""The cat is black."""
21,21,21,21,21,heb,eb een boek gelezen. = I have read a book.
22,22,22,22,22,me,eb me vergist. - I made a mistake.
23,23,23,23,23,met,a met mijn vrienden naar het strand. - I'm going to the beach with my friends.
24,24,24,24,24,voor,eb geen tijd om te wachten voor de trein. - I don't have time to wait for the train.
25,25,25,25,25,als,"je moe bent, neem dan een rustpauze. - If you are tired, take a break."
26,26,26,26,26,ben,en vermoeid. - I am tired.
27,27,27,27,27,was,as daar gisteren. - I was there yesterday.
28,28,28,28,28,dit,is mijn huis. - This is my house.
29,29,29,29,29,mijn, huis is groot. - My house is big.
30,30,30,30,30,om,ebruik deze spullen om mijn huis te versieren. - I use these things to decorate my house.
31,31,31,31,31,aan,eb aan het werk gewerkt. - I have been working.
32,32,32,32,32,jij,"bent mijn beste vriend.
You are my best friend."
33,33,33,33,33,naar,ing naar de supermarkt. - I went to the supermarket.
34,34,34,34,34,dan," kunnen we gaan."" - Then we can go."
35,35,35,35,35,hier, is mijn huis. - Here is my house.
36,36,36,36,36,weet,eet het niet. - I don't know.
37,37,37,37,37,kan,an dit alleen doen. - I can do this alone.
38,38,38,38,38,geen,eb geen tijd - I don't have time.
39,39,39,39,39,nog,"steeds heb ik geen antwoord op mijn vraag. 
Still, I don't have an answer to my question."
40,40,40,40,40,moet,oet nu naar huis gaan. - I have to go home now.
41,41,41,41,41,wil,il dat je me vertelt wat er aan de hand is. - I want you to tell me what's going on.
42,42,42,42,42,wel,"kom bij ons!"" - Welcome with us!"
43,43,43,43,43,ja," ik begrijp het."" - Yes, I understand."
44,44,44,44,44,zo,"heb ik het gedaan."" - ""That's how I did it."""
45,45,45,45,45,heeft,heeft een auto gekocht. - He has bought a car.
46,46,46,46,46,hebben,ebben een nieuwe auto gekocht. - I have bought a new car.
47,47,47,47,47,hem,gaf hem een cadeau. - He gave him a present.
48,48,48,48,48,goed,"emorgen, ik hoop dat je het goed maakt! - Good morning, I hope you're doing well!"
49,49,49,49,49,nee," ik heb geen tijd. - No, I don't have time."
50,50,50,50,50,waar, is de bibliotheek? - Where is the library?
51,51,51,51,51,nu,a ik naar huis. Now I'm going home.
52,52,52,52,52,hoe," gaat het met je?"" - How are you?"
53,53,53,53,53,ga,aar de winkel! - Go to the store!
54,54,54,54,54,haar, ogen glinsterden in de zon. - Her eyes sparkled in the sun.
55,55,55,55,55,uit,eb uitgeschreven wat ik moest doen. - I have written out what I had to do.
56,56,56,56,56,doen,oe het elke dag. - I do it every day.
57,57,57,57,57,ook,ik heb deze vraag gelezen. - I also read this question.
58,58,58,58,58,over,en over een uur thuis. - I will be home in an hour.
59,59,59,59,59,bent,"bent mijn beste vriend."" - You are my best friend."
60,60,60,60,60,mij,"lijkt het leuk om naar het strand te gaan.
Translation: I would like to go to the beach."
61,61,61,61,61,gaan,a naar huis. = I'm going home.
62,62,62,62,62,of,eb een boek van mijn vriend gekregen. - I received a book from my friend.
63,63,63,63,63,kom,alsjeblieft binnen. Please come in.
64,64,64,64,64,zou,ou graag naar het strand gaan. - I would like to go to the beach.
65,65,65,65,65,al,"ik naar huis ga, neem ik een taxi. - When I go home, I will take a taxi."
66,66,66,66,66,bij,eb alleen bij mijn moeder gewoond. - I have only lived with my mother.
67,67,67,67,67,daar," staat een boom, There stands a tree."
68,68,68,68,68,ons,huis is groot. - Our house is big.
69,69,69,69,69,jullie,ie zijn de beste! - You guys are the best!
70,70,70,70,70,hebt,ebt het goed gedaan. - You have done well.
71,71,71,71,71,gaat," gaat naar de winkel."" - He is going to the store."
72,72,72,72,72,iets,"heb iets nodig."" - ""I need something."""
73,73,73,73,73,zal,al morgen komen. - I will come tomorrow.
74,74,74,74,74,meer,il meer kennis verwerven. - I want to acquire more knowledge.
75,75,75,75,75,waarom,om heb je het gedaan? - Why did you do it?
76,76,76,76,76,had,ad al een antwoord op de vraag. - I already had an answer to the question.
77,77,77,77,77,deze, dag was een geweldige dag. - This day was a great day.
78,78,78,78,78,laat, ons samen eten. - Let's eat together.
79,79,79,79,79,moeten,oet naar school gaan. - I have to go to school.
80,80,80,80,80,m'n,huis is groot. - My house is big.
81,81,81,81,81,jou,"w hulp is erg gewaardeerd."" - ""Your help is greatly appreciated."""
82,82,82,82,82,doe,het licht aan. - Turn on the light.
83,83,83,83,83,wie,is daar? - Who is there?
84,84,84,84,84,kunnen,an niet wachten om het te zien. - I can't wait to see it.
85,85,85,85,85,alles,s komt goed. - Everything will be alright.
86,86,86,86,86,denk,enk dat het regent. - I think it is raining.
87,87,87,87,87,door,"ging door de deur naar buiten"" - I went through the door to the outside."
88,88,88,88,88,echt,eb echt mijn best gedaan. - I really tried my best.
89,89,89,89,89,alleen,en alleen thuis. - I am alone at home.
90,90,90,90,90,oké," ik begrijp het. - Ok, I understand."
91,91,91,91,91,eens,en het eens met je. - I agree with you.
92,92,92,92,92,dus,"heb ik besloten om het te doen. Therefore, I have decided to do it."
93,93,93,93,93,weg," is de weg kwijt."" - He is lost."
94,94,94,94,94,zien,ie je morgen. - I'll see you tomorrow.
95,95,95,95,95,toch, vond ik het leuk. - I still enjoyed it.
96,96,96,96,96,man,an loopt naar de winkel. - The man is walking to the store.
97,97,97,97,97,nooit,al nooit vergeten wat er gebeurd is. - I will never forget what happened.
98,98,98,98,98,terug,en terug naar huis gegaan - I went back home.
99,99,99,99,99,laten,"en we gaan!"" - ""Let's go!"""
