,Number,Romanian,English
400,401,unitate,unit
401,402,putere,power
402,403,oraș,town
403,404,fin,fine
404,405,sigur,certain
405,406,zbura,fly
406,407,cădea,fall
407,408,plumb,lead
408,409,strigăt,cry
409,410,întuneric,dark
410,411,mașină,machine
411,412,notă,note
412,413,aștepta,wait
413,414,planul de,plan
414,415,figura,figure
415,416,stele,star
416,417,cutie,box
417,418,substantiv,noun
418,419,câmp,field
419,420,odihnă,rest
420,421,corect,correct
421,422,capabil,able
422,423,lire,pound
423,424,terminat,done
424,425,frumusețe,beauty
425,426,unitate,drive
426,427,stat,stood
427,428,conțin,contain
428,429,față,front
429,430,învăța,teach
430,431,săptămână,week
431,432,finală,final
432,433,a dat,gave
433,434,verde,green
434,435,oh,oh
435,436,rapid,quick
436,437,dezvolta,develop
437,438,oceanului,ocean
438,439,cald,warm
439,440,liber,free
440,441,minut,minute
441,442,puternic,strong
442,443,special,special
443,444,minte,mind
444,445,în spatele,behind
445,446,clar,clear
446,447,coadă,tail
447,448,produc,produce
448,449,fapt,fact
449,450,spațiu,space
450,451,a auzit,heard
451,452,cel mai bun,best
452,453,oră,hour
453,454,mai bine,better
454,455,adevărat,true
455,456,în timpul,during
456,457,sute de,hundred
457,458,cinci,five
458,459,amintiți-vă,remember
459,460,pas,step
460,461,devreme,early
461,462,țineți,hold
462,463,vest,west
463,464,teren,ground
464,465,interes,interest
465,466,ajunge,reach
466,467,rapid,fast
467,468,verbul,verb
468,469,cânta,sing
469,470,asculta,listen
470,471,șase,six
471,472,masă,table
472,473,călătorie,travel
473,474,mai puțin,less
474,475,dimineață,morning
475,476,zece,ten
476,477,simplu,simple
477,478,mai mulți,several
478,479,vocală,vowel
479,480,spre,toward
480,481,război,war
481,482,pune,lay
482,483,împotriva,against
483,484,model,pattern
484,485,lent,slow
485,486,centru,center
486,487,dragoste,love
487,488,persoană,person
488,489,bani,money
489,490,servi,serve
490,491,apărea,appear
491,492,rutier,road
492,493,harta,map
493,494,ploaie,rain
494,495,regulă,rule
495,496,guverna,govern
496,497,trage,pull
497,498,rece,cold
498,499,Anunț,notice
499,500,voce,voice
