,Dutch,Frequency,SpaCy_POS,SpaCy_Tag,POS,Translation
0,ik,7840843,PRON,VNW|pers|pron|nomin|vol|1|ev,Pronoun,I
1,je,7242582,PRON,VNW|pers|pron|nomin|red|2v|ev,Pronoun,you
2,het,5233420,DET,LID|bep|stan|evon,Determiner,It
3,de,5171977,DET,LID|bep|stan|rest,Determiner,the
4,dat,4505789,SCONJ,VG|onder,Conjunction,that
5,is,4439481,AUX,WW|pv|tgw|ev,Auxiliary,is
6,een,3715858,DET,LID|onbep|stan|agr,Determiner,An
7,niet,3678884,ADV,BW,Adverb,not
8,en,2800789,CCONJ,VG|neven,Conjunction,and
9,wat,2228941,PRON,VNW|vb|pron|stan|vol|3o|ev,Pronoun,what
10,van,2209684,ADP,VZ|init,Preposition,by
11,we,2076863,PRON,VNW|pers|pron|nomin|red|1|mv,Pronoun,we
12,in,1963658,ADP,VZ|init,Preposition,in
13,ze,1789915,PRON,VNW|pers|pron|stan|red|3|ev|fem,Pronoun,she
14,hij,1719998,PRON,VNW|pers|pron|nomin|vol|3|ev|masc,Pronoun,he
15,op,1696645,ADP,VZ|fin,Preposition,on
16,te,1691827,ADP,VZ|init,Preposition,at
17,zijn,1681160,AUX,WW|pv|tgw|mv,Auxiliary,are
18,er,1615173,ADV,VNW|aanw|adv-pron|stan|red|3|getal,Adverb,there
19,maar,1598672,CCONJ,VG|neven,Conjunction,but
20,die,1434016,PRON,VNW|betr|pron|stan|vol|persoon|getal,Pronoun,That
21,heb,1429701,AUX,WW|pv|tgw|ev,Auxiliary,have
22,me,1411318,PRON,VNW|pr|pron|obl|red|1|ev,Pronoun,me
23,met,1395328,ADP,VZ|init,Preposition,of
24,voor,1389735,ADP,VZ|init,Preposition,for
25,als,1273513,SCONJ,VG|onder,Conjunction,as
26,ben,1144955,AUX,WW|pv|tgw|ev,Auxiliary,am
27,was,1031488,AUX,WW|pv|verl|ev,Auxiliary,used to be
28,dit,1012898,PRON,VNW|aanw|pron|stan|vol|3o|ev,Pronoun,this
29,mijn,961659,PRON,VNW|bez|det|stan|vol|1|ev|prenom|zonder|agr,Pronoun,mine
30,om,950863,ADP,VZ|init,Preposition,to
31,aan,939521,ADP,VZ|fin,Preposition,On
32,jij,928107,PRON,VNW|pers|pron|nomin|vol|2v|ev,Pronoun,you
33,naar,908546,ADP,VZ|init,Preposition,Unpleasant
34,dan,904663,SCONJ,VG|onder,Conjunction,than
35,hier,892773,ADV,VNW|aanw|adv-pron|obl|vol|3o|getal,Adverb,here
36,weet,870605,VERB,WW|pv|tgw|ev,Verb,know
37,kan,827534,AUX,WW|pv|tgw|ev,Auxiliary,can
38,geen,799250,DET,VNW|onbep|det|stan|prenom|zonder|agr,Determiner,no
39,nog,792339,ADV,BW,Adverb,yet
40,moet,762775,AUX,WW|pv|tgw|ev,Auxiliary,must
41,wil,759522,VERB,WW|pv|tgw|ev,Verb,want to
42,wel,758242,ADV,BW,Adverb,well
43,ja,746431,INTJ,TSW,Interjection,Yes
44,zo,746139,ADV,BW,Adverb,Like this
45,heeft,735768,AUX,WW|pv|tgw|met-t,Auxiliary,has
46,hebben,732206,AUX,WW|pv|tgw|mv,Auxiliary,to have
47,hem,730248,PRON,VNW|pers|pron|obl|vol|3|ev|masc,Pronoun,it
48,goed,711659,ADJ,ADJ|vrij|basis|zonder,Adjective,Good
49,nee,663369,INTJ,TSW,Interjection,no
50,waar,634748,ADV,VNW|vb|adv-pron|obl|vol|3o|getal,Adverb,Where
51,nu,633525,ADV,BW,Adverb,now
52,hoe,632454,ADV,BW,Adverb,how
53,ga,579630,VERB,WW|pv|tgw|ev,Verb,go
54,haar,573366,PRON,VNW|pers|pron|obl|vol|3|getal|fem,Pronoun,her
55,uit,562873,ADP,VZ|fin,Preposition,out
56,doen,557710,VERB,WW|inf|vrij|zonder,Verb,doing
57,ook,555481,ADV,BW,Adverb,also
58,over,555424,ADP,VZ|fin,Preposition,about
59,bent,551495,AUX,WW|pv|tgw|met-t,Auxiliary,are
60,mij,549004,PRON,VNW|pr|pron|obl|vol|1|ev,Pronoun,me
61,gaan,545717,VERB,WW|inf|vrij|zonder,Verb,to go
62,of,506118,CCONJ,VG|neven,Conjunction,or
63,kom,502576,VERB,WW|pv|tgw|ev,Verb,come
64,zou,501036,AUX,WW|pv|verl|ev,Auxiliary,would
65,al,493269,ADV,BW,Adverb,already
66,bij,490366,ADP,VZ|init,Preposition,bee
67,daar,482796,ADV,VNW|aanw|adv-pron|obl|vol|3o|getal,Adverb,over there
68,ons,473851,PRON,VNW|pr|pron|obl|vol|1|mv,Pronoun,us
69,jullie,472767,PRON,VNW|pers|pron|stan|nadr|2v|mv,Pronoun,you
70,hebt,460950,VERB,WW|pv|tgw|met-t,Verb,have
