,Unnamed: 0,French,POS,English,ChatGPT_Sentence
0,0,être,"verb, auxiliary verb, noun",to be; being,"Être une personne gentille peut être un pouvoir.

To be a kind person can be a power."
1,1,avoir,"verb, auxiliary verb",to have,"Il a bon se sentir heureux.
He feels good to be happy."
2,2,je,personal pronoun,I,"Je ne suis pas petit.
I am not small."
3,3,de,preposition,"of, from, by, than, in, with (see #28)","J'ai un cadeau de toi.
I have a gift from you."
4,4,ne,adverb,not,"Je ne trouve pas mon livre.
I can't find my book."
5,5,pas,"adverb, noun","not; step, pace","Toi, tu ne passes pas par ici.
You, you don't pass by here."
6,6,le,"definite article, personal pronoun","the; him, it (refering to a masculine singular noun) (see #8, 15, 18)","Le même chien joue avec l'autre.  
The same dog plays with the other."
7,7,la,"definite article, personal pronoun","the; her, it (refering to a feminine singular noun) (see #7, 15, 18)","Je vais la donner ici.
I am going to give it here."
8,8,tu,personal pronoun,you,"Tu as tout d'accord.
You agree with everything."
9,9,vous,personal pronoun,"you, yourself","Vous êtes dans la salle pour la réunion.
You are in the room for the meeting."
10,10,il,personal pronoun,"he, it","Il s'est arrivé à la maison.
He arrived at the house."
11,11,et,conjunction,and,"Elle aime son chat et se promène dans le jardin.
She loves her cat and walks in the garden."
12,12,à,preposition,"in, to, with","Je peux aller à la plage pour voir le coucher du soleil.
I can go to the beach to see the sunset."
13,13,un,indefinite article,"a, an; one (used before a masculine singular noun) (see #26, 31)","Elle a un de mes livres.
She has one of my books."
14,14,l',"definite article, personal pronoun","the (used instead of ''le'' or ''la'' before nouns that begin with a vowel) (see #7, 8, 18)","L'ami de vous est gentil.
Your friend is kind."
15,15,qui,"relative pronoun, interrogative pronoun","who, whom; that, which","Cette personne qui parle avec moi est gentille.
This person who is talking with me is kind."
16,16,aller,verb,to go,"Je vais parler à son ami.
I am going to talk to his friend."
17,17,les,"definite article, personal pronoun","the; them (referring to a plural noun) (see #7, 8, 15)","Les devoirs sont dans le sac.
The homework is in the bag."
18,18,en,"preposition, personal pronoun, adverb","in, into, to, as","Merci pour les fleurs, je m'en souviendrai quand tu reviendras.
Thank you for the flowers, I will remember it when you come back."
19,19,ça,demonstrative pronoun,"this, that (see #203)","Ça, c'est des choses à faire.
That, it's things to do."
20,20,faire,verb,"to do, make","Le petit garçon aime faire du bruit avec son tambour.  
The little boy likes to make noise with his drum."
21,21,tout,"adjective, indefinite adjective, indefinite pronoun, adverb, noun","all, everything, any; very, quite","Tout ça est plus facile.

All that is easier."
22,22,on,personal pronoun,"we, you","On prend ce que tu veux.
We take what you want."
23,23,que,"relative pronoun, interrogative pronoun",that; what; which,"La question qu'elle se pose est si elle peut venir.

The question she asks herself is if she can come."
24,24,ce,"demonstrative pronoun, demonstrative adjective","this, that (see #73, 99, 201)","Ce livre est pour lui ou pour elle?
This book is for him or for her?"
25,25,une,indefinite article,"a, an; one (used before a feminine singular noun); french.languagedaily.com (see #14, 31)","Elle a une pomme, mais elle n'y touche pas.
She has an apple, but she doesn't touch it."
26,26,mes,possessive adjective,"my (used before plural nouns) (see #50, 108)","Mes amis ont le pouvoir de changer le monde.
My friends have the power to change the world."
27,27,d',preposition,"of, from, by, than, in, with (used before a vowel or mute h) (see #4)","Je veux aller à la plage, mais j'ai besoin d'un maillot de bain.
I want to go to the beach, but I need a swimsuit."
28,28,pour,preposition,for,"On va au parc pour jouer.
We go to the park to play."
29,29,se,personal pronoun,"himself, herself, themselves (see #60)","Il se laisse suivre par le chien.
He lets himself be followed by the dog."
30,30,des,indefinite article,"some (used before a plural noun) (see #14, 26)","Il y a des livres sur la table.

There are some books on the table."
31,31,dire,"verb, noun","to say, tell","Je vais te donner un conseil là : il faut dire la vérité.
I am going to give you some advice here: you must tell the truth."
32,32,pouvoir,"verb, noun","can, to be able to","Ce pouvoir influence ces décisions.
This power influences these decisions."
33,33,vouloir,verb,to want,"Il veut se reposer chez sa tante.
He wants to rest at his aunt's house."
34,34,mais,conjunction,but,"Il se croit intelligent, mais il fait souvent des erreurs.
He thinks he is smart, but he often makes mistakes."
35,35,me,personal pronoun,"me, myself","Il veut me montrer une autre chose.
He wants to show me another thing."
36,36,nous,personal pronoun,"we, us","Nous allons bien avec nos amis.
We are doing well with our friends."
37,37,dans,preposition,"in, into","Le chat se cache dans la boîte.  
The cat hides in the box."
38,38,elle,personal pronoun,"she, it (refers to a feminine singular noun)","Elle mange une pomme du jardin.
She eats an apple from the garden."
39,39,savoir,verb,to know; languagedaily dot com,"Je pense que tu sais quoi faire ici.
I think you know what to do here."
40,40,du,definite article,"(de + le/les) = of the, from the","Il y a du pain sur la table.

There is some bread on the table."
41,41,où,"relative pronoun, interrogative pronoun","where, that","Où ne vous trouvez-vous pas?

Where do you not find yourself?"
42,42,y,personal pronoun,"it, there","Il y a des livres que j'aime lire.
There are some books that I like to read."
43,43,t',personal pronoun,"you, yourself (shortened form used before a vowel)","Je t'aime parce que la vie est belle.
I love you because life is beautiful."
44,44,bien,"adverb, noun","well, very; good","French: Je t'aime bien pour sa gentillesse.

English: I like you for his/her kindness."
45,45,voir,verb,to see,"Je ne vois pas des oiseaux.
I do not see any birds."
46,46,plus,adverb,more,"French: Ce gâteau est plus bon pour toi.

English: This cake is better for you."
47,47,non,adverb,no,"Non, je ne parle pas à lui.  
No, I do not speak to him."
48,48,te,personal pronoun,"you, yourself","Je te dois dire où aller.
I have to tell you where to go."
49,49,mon,possessive adjective,"my (used before a masculine singular noun) (see #27, 108)","Mon frère joue avec toi.  
My brother plays with you."
50,50,au,definite article,"at the, to the, in the (contraction of à + le; used with a singular masculine noun)","Nous n'allons pas au parc.
We are not going to the park."
51,51,avec,preposition,with,"Je joue aussi avec mon ami comme toi.  
I also play with my friend like you."
52,52,moi,personal pronoun,"I, me","Ils parlent de moi.
They talk about me."
53,53,si,"adverb, conjunction","yes; if; so, such","Si tu attends ici, qui va nous aider ?
If you wait here, who will help us?"
54,54,quoi,"adjective, relative pronoun, interrogative pronoun","what (exclamatory, interrogative, after preposition)","Quoi avoir l'importance dans cette situation?
What has importance in this situation?"
55,55,devoir,"verb, noun","to have to, must; duty, test","Je dois faire mes devoirs, mais je ne sais pas quand ni quoi étudier.
I have to do my homework, but I don't know when or what to study."
56,56,oui,adverb,yes,"Oui, c'est aussi une chose importante.
Yes, it is also an important thing."
57,57,ils,personal pronoun,they (refers to a group of masculine or mixed masculine/feminine nouns),"Ils voient la maison là-bas.
They see the house over there."
58,58,comme,"conjunction, adverb","as, like; how, same","Comme si je pouvais vivre avec toi.  
As if I could live with you."
59,59,s',"personal pronoun, conjunction","himself, herself, themselves (variation of ""se"" used before a word starting with a vowel or mute h)","Elle s' arrête pour penser à cette idée.
She stops to think about this idea."
60,60,venir,verb,"to come, occur","Je ne peux pas venir avec toi.  
I cannot come with you."
61,61,sur,"preposition, adjective","on, upon; over (preposition); sour (adjective)","Je ne suis jamais bien sur de la réponse.
I am never quite sure of the answer."
62,62,toi,personal pronoun,you,"La maison est très belle, toi aussi.
The house is very beautiful, you too."
63,63,ici,adverb,here,"Je veux des pommes ici.  
I want some apples here."
64,64,rien,indefinite pronoun,nothing,"Je n'ai rien pour quand tu arrives.
I have nothing for when you arrive."
65,65,lui,personal pronoun,"he, him, it, her","Tu lui as donné le livre que je t'ai prêté.
You gave him the book that I lent you."
66,66,bon,"adjective, onomatopoeia, noun, adverb","good, right, kind; good!; voucher; then; french.languagedaily.com","French: Là, le bon devoir fait un bon bruit bon.

English: There, the good homework makes a good sound well."
