Rank,French,English,POS
1,être,to be; being,"verb, auxiliary verb, noun"
2,avoir,to have,"verb, auxiliary verb"
3,je,I,personal pronoun
4,de,"of, from, by, than, in, with (see #28)",preposition
5,ne,not,adverb
6,pas,"not; step, pace","adverb, noun"
7,le,"the; him, it (refering to a masculine singular noun) (see #8, 15, 18)","definite article, personal pronoun"
8,la,"the; her, it (refering to a feminine singular noun) (see #7, 15, 18)","definite article, personal pronoun"
9,tu,you,personal pronoun
10,vous,"you, yourself",personal pronoun
11,il,"he, it",personal pronoun
12,et,and,conjunction
13,à,"in, to, with",preposition
14,un,"a, an; one (used before a masculine singular noun) (see #26, 31)",indefinite article
15,l',"the (used instead of ''le'' or ''la'' before nouns that begin with a vowel) (see #7, 8, 18)","definite article, personal pronoun"
16,qui,"who, whom; that, which","relative pronoun, interrogative pronoun"
17,aller,to go,verb
18,les,"the; them (referring to a plural noun) (see #7, 8, 15)","definite article, personal pronoun"
19,en,"in, into, to, as","preposition, personal pronoun, adverb"
20,ça,"this, that (see #203)",demonstrative pronoun
21,faire,"to do, make",verb
22,tout,"all, everything, any; very, quite","adjective, indefinite adjective, indefinite pronoun, adverb, noun"
23,on,"we, you",personal pronoun
24,que,that; what; which,"relative pronoun, interrogative pronoun"
25,ce,"this, that (see #73, 99, 201)","demonstrative pronoun, demonstrative adjective"
26,une,"a, an; one (used before a feminine singular noun); french.languagedaily.com (see #14, 31)",indefinite article
27,mes,"my (used before plural nouns) (see #50, 108)",possessive adjective
28,d',"of, from, by, than, in, with (used before a vowel or mute h) (see #4)",preposition
29,pour,for,preposition
30,se,"himself, herself, themselves (see #60)",personal pronoun
31,des,"some (used before a plural noun) (see #14, 26)",indefinite article
32,dire,"to say, tell","verb, noun"
33,pouvoir,"can, to be able to","verb, noun"
34,vouloir,to want,verb
35,mais,but,conjunction
36,me,"me, myself",personal pronoun
37,nous,"we, us",personal pronoun
38,dans,"in, into",preposition
39,elle,"she, it (refers to a feminine singular noun)",personal pronoun
40,savoir,to know; languagedaily dot com,verb
41,du,"(de + le/les) = of the, from the",definite article
42,où,"where, that","relative pronoun, interrogative pronoun"
43,y,"it, there",personal pronoun
44,t',"you, yourself (shortened form used before a vowel)",personal pronoun
45,bien,"well, very; good","adverb, noun"
46,voir,to see,verb
47,plus,more,adverb
48,non,no,adverb
49,te,"you, yourself",personal pronoun
50,mon,"my (used before a masculine singular noun) (see #27, 108)",possessive adjective
51,au,"at the, to the, in the (contraction of à + le; used with a singular masculine noun)",definite article
52,avec,with,preposition
53,moi,"I, me",personal pronoun
54,si,"yes; if; so, such","adverb, conjunction"
55,quoi,"what (exclamatory, interrogative, after preposition)","adjective, relative pronoun, interrogative pronoun"
56,devoir,"to have to, must; duty, test","verb, noun"
57,oui,yes,adverb
58,ils,they (refers to a group of masculine or mixed masculine/feminine nouns),personal pronoun
59,comme,"as, like; how, same","conjunction, adverb"
60,s',"himself, herself, themselves (variation of ""se"" used before a word starting with a vowel or mute h)","personal pronoun, conjunction"
61,venir,"to come, occur",verb
62,sur,"on, upon; over (preposition); sour (adjective)","preposition, adjective"
63,toi,you,personal pronoun
64,ici,here,adverb
65,rien,nothing,indefinite pronoun
66,lui,"he, him, it, her",personal pronoun
67,bon,"good, right, kind; good!; voucher; then; french.languagedaily.com","adjective, onomatopoeia, noun, adverb"
68,là,"there, here, then",adverb
69,suivre,to follow,verb
70,pourquoi,why,"adverb, conjunction"
