,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
0,0,2400,stinkt,4676,verb,stinken,stink smell reek
1,1,2401,uiteraard,4676,adverb,uiteraard,naturally
2,2,2402,makker,4670,noun,makker,buddy companion pal
3,3,2403,vanmiddag,4670,No Google Info,No Google Info,No Google Info
4,4,2404,aangekomen,4670,verb,aankomen,arrive come land
5,5,2405,meedoen,4662,verb,meedoen,participate join in run
6,6,2406,minst,4656,adjective,minst,least
7,7,2407,maag,4655,noun,maag,stomach tummy rumen
8,8,2408,route,4654,noun,route,route road course
9,9,2409,omgaan,4649,verb,omgaan,handle circumvent intercommunicate
10,10,2410,hoogste,4648,adjective,hoogste,paramount meridian last
11,11,2411,verrader,4644,noun,verrader,traitor betrayer Judas
12,12,2412,indrukwekkend,4641,adjective,indrukwekkend,impressive imposing commanding
13,13,2413,mogelijkheden,4634,noun,mogelijkheid,possibility opportunity possible
14,14,2414,Helen,4631,verb,helen,heal recover cure
15,15,2415,gebaseerd,4626,verb,baseren,base found
16,16,2416,Nederlandse,4626,noun,Nederlandse,Dutchwoman
17,17,2417,verschuldigd,4625,adjective,verschuldigd,due owing indebted
18,18,2418,lever,4625,noun,lever,liver
19,19,2419,scheiden,4621,verb,scheiden,separate divorce part
20,20,2420,sprong,4611,noun,sprong,jump leap hop
21,21,2421,daarbinnen,4605,No Google Info,No Google Info,No Google Info
22,22,2422,wolf,4603,noun,wolf,wolf devil caries
23,23,2423,whisky,4603,noun,whisky,whiskey usquebaugh tanglefoot
24,24,2424,lady,4599,noun,lady,lady dame queen
25,25,2425,live,4593,adjective,live,straight
26,26,2426,voldoende,4587,adjective,voldoende,sufficient enough adequate
27,27,2427,onderzocht,4584,verb,onderzoeken,examine investigate research
28,28,2428,universum,4583,noun,universum,universe
29,29,2429,ontzettend,4581,adjective,ontzettend,tremendous enormous appalling
30,30,2430,gevochten,4574,verb,vechten,fight battle combat
31,31,2431,Marshall,4572,No Google Info,No Google Info,No Google Info
32,32,2432,pop,4568,noun,pop,doll dummy puppet
33,33,2433,lijf,4568,noun,lijf,body
34,34,2434,douche,4565,noun,douche,shower douche
35,35,2435,hieruit,4565,No Google Info,No Google Info,No Google Info
36,36,2436,junior,4559,noun,junior,junior
37,37,2437,golf,4558,noun,golf,golf wave gulf
38,38,2438,Amerikaan,4557,No Google Info,No Google Info,No Google Info
39,39,2439,kut,4551,noun,kut,pussy cunt vagina
40,40,2440,model,4547,noun,model,model pattern shape
41,41,2441,geldt,4545,verb,gelden,obtain
42,42,2442,seizoen,4544,noun,seizoen,season
43,43,2443,omlaag,4543,adverb,omlaag,below
44,44,2444,nummers,4539,noun,nummer,number digit cipher
45,45,2445,trainen,4537,verb,trainen,train coach school
46,46,2446,mijl,4533,noun,mijl,mile furlong
47,47,2447,jongeman,4532,noun,jongeman,lad
48,48,2448,welnee,4528,No Google Info,No Google Info,No Google Info
49,49,2449,broertje,4526,No Google Info,No Google Info,No Google Info
50,50,2450,marine,4526,noun,marine,navy waterscape sea power
51,51,2451,pakte,4525,verb,pakken,tackle pack take
52,52,2452,wandelen,4520,verb,wandelen,walk stroll wander
53,53,2453,herstellen,4519,verb,herstellen,restore recover repair
54,54,2454,robot,4518,noun,robot,robot
55,55,2455,ongerust,4517,adjective,ongerust,anxious uneasy
56,56,2456,vijftig,4514,,vijftig,fifty
57,57,2457,gegooid,4514,verb,gooien,throw toss cast
58,58,2458,duisternis,4509,noun,duisternis,darkness dark obscurity
59,59,2459,jochie,4509,noun,jochie,laddie urchin kiddy
60,60,2460,hi,4509,interjection,Hi!,Hi!
61,61,2461,hekel,4508,noun,hekel,dislike hackle abhorrence
62,62,2462,doodgaan,4506,verb,doodgaan,die peg out walk
63,63,2463,Cole,4505,No Google Info,No Google Info,No Google Info
64,64,2464,briefje,4502,noun,briefje,bill chit memo
65,65,2465,tweeën,4497,noun,twee,two twain deuce
66,66,2466,achteren,4497,No Google Info,No Google Info,No Google Info
67,67,2467,getekend,4496,verb,tekenen,draw sign design
68,68,2468,vlakbij,4496,adverb,vlakbij,not far off nigh
69,69,2469,prettig,4496,adjective,prettig,pleasant nice enjoyable
70,70,2470,teef,4496,noun,teef,bitch
71,71,2471,schoten,4496,noun,schoot,lap womb bosom
72,72,2472,eisen,4492,verb,eisen,require demand claim
73,73,2473,schrijver,4491,noun,schrijver,writer author clerk
74,74,2474,knop,4489,noun,knop,button knob bud
75,75,2475,sigaret,4484,noun,sigaret,cigarette fag gasper
76,76,2476,smerige,4483,adjective,smerig,filthy nasty dirty
77,77,2477,reageren,4475,verb,reageren,react
78,78,2478,vloek,4470,noun,vloek,curse damn oath
79,79,2479,achterna,4470,adverb,achterna,behindhand
80,80,2480,legende,4467,noun,legende,legend
81,81,2481,stonden,4466,verb,staan,stand be face
82,82,2482,ai,4466,No Google Info,No Google Info,No Google Info
83,83,2483,banden,4458,noun,band,band tire tape
84,84,2484,branden,4452,verb,branden,glow sting toast
85,85,2485,aangenomen,4449,adjective,aangenomen,adopted approved adoptive
86,86,2486,nul,4446,noun,nul,zero null nil
87,87,2487,borsten,4443,noun,borst,chest breast brisket
88,88,2488,Miles,4437,No Google Info,No Google Info,No Google Info
89,89,2489,hierover,4429,adverb,hierover,hereof
90,90,2490,bovenop,4418,adverb,bovenop,on top superiorly
91,91,2491,vampier,4412,noun,vampier,vampire
92,92,2492,overeenkomst,4411,noun,overeenkomst,agreement contract convention
93,93,2493,brave,4409,adjective,braaf,good brave honest
94,94,2494,optreden,4408,noun,optreden,action performance appearance
95,95,2495,brak,4404,noun,brak,beagle
96,96,2496,gesteld,4400,verb,stellen,set put adjust
97,97,2497,vuil,4399,noun,vuil,dirt grime filth
98,98,2498,dinsdag,4399,noun,dinsdag,Tuesday
99,99,2499,vergat,4397,verb,vergeten,forget
100,100,2500,verenigde,4397,verb,verenigen,unite unify join
101,101,2501,verdriet,4397,noun,verdriet,grief sadness chagrin
102,102,2502,vijfde,4396,adjective,vijfde,fifth
103,103,2503,Berlijn,4395,No Google Info,No Google Info,No Google Info
104,104,2504,vieze,4388,adjective,vies,dirty filthy nasty
105,105,2505,bezorgen,4386,verb,bezorgen,deliver provide bring
106,106,2506,teruggaan,4385,noun,teruggaan,setback
107,107,2507,straten,4384,noun,straat,street road strait
108,108,2508,lippen,4384,adjective,lippen-,lip
109,109,2509,overleefd,4383,verb,overleven,survive outlive persist
110,110,2510,gelukkige,4380,adjective,gelukkig,happy lucky fortunate
111,111,2511,breek,4379,verb,breken,break rupture smash
112,112,2512,constant,4378,adjective,constant,constant permanent continual
113,113,2513,scherp,4377,adjective,scherp,sharp tart cutting
114,114,2514,proost,4374,noun,proost,dean
115,115,2515,hoefde,4374,verb,hoeven,need require
116,116,2516,april,4372,noun,april,April
117,117,2517,ellende,4366,noun,ellende,misery woes distress
118,118,2518,sigaretten,4353,noun,sigaret,cigarette fag gasper
119,119,2519,vogels,4352,noun,vogel,bird fowl bobolink
120,120,2520,overval,4351,noun,overval,raid onfall
121,121,2521,spion,4347,noun,spion,spy scout emissary
122,122,2522,tank,4342,noun,tank,tank container
123,123,2523,d'r,4342,No Google Info,No Google Info,No Google Info
124,124,2524,datje,4341,No Google Info,No Google Info,No Google Info
125,125,2525,benzine,4341,noun,benzine,petrol gasoline gas
126,126,2526,Duitsers,4340,No Google Info,No Google Info,No Google Info
127,127,2527,zwijgen,4338,verb,zwijgen,keep silent keep silence hush
128,128,2528,cheque,4336,noun,cheque,check cheque
129,129,2529,kasteel,4334,noun,kasteel,castle chateau manor
130,130,2530,begreep,4333,verb,begrijpen,understand grasp comprehend
131,131,2531,verplaatsen,4327,verb,verplaatsen,move shift displace
132,132,2532,stelde,4327,verb,stellen,set put adjust
133,133,2533,durft,4323,verb,durven,dare presume
134,134,2534,dossiers,4313,noun,dossier,dossier
135,135,2535,winst,4310,noun,winst,profit gain winnings
136,136,2536,mammie,4310,noun,mammie,mommy mummy mom
137,137,2537,gewild,4306,adjective,gewild,in demand studied salable
138,138,2538,lig,4302,verb,liggen,lie be sit
139,139,2539,godzijdank,4298,interjection,God zij dank!,Thank God! Thank goodness!
140,140,2540,kansen,4295,noun,kansen,odds
141,141,2541,concentreren,4294,verb,concentreren,concentrate condense
142,142,2542,lege,4291,adjective,leeg,empty vacant void
143,143,2543,vertrouwt,4288,verb,vertrouwen,trust rely depend
144,144,2544,verdacht,4283,adjective,verdacht,suspicious suspect fishy
145,145,2545,goedenacht,4282,interjection,Goedenacht!,Good night!
146,146,2546,allerlei,4281,adjective,allerlei,all kinds of sundry
147,147,2547,Chinees,4277,adjective,Chinees,Chinese
148,148,2548,roept,4272,verb,roepen,call cry shout
149,149,2549,weggaat,4268,No Google Info,No Google Info,No Google Info
150,150,2550,kleed,4267,noun,kleed,carpet garments gown
151,151,2551,bevrijden,4263,verb,bevrijden,liberate deliver rid
152,152,2552,merken,4263,verb,merken,mark perceive sense
153,153,2553,Derek,4262,No Google Info,No Google Info,No Google Info
154,154,2554,haven,4260,noun,haven,port harbor harbour
155,155,2555,plekken,4259,verb,plekken,stain
156,156,2556,gelopen,4257,verb,lopen,walk run foot
157,157,2557,verwachtte,4256,verb,verwachten,expect anticipate hope
158,158,2558,fabriek,4256,noun,fabriek,factory plant works
159,159,2559,ontspannen,4255,verb,ontspannen,relax recreate unbend
160,160,2560,beweeg,4252,adjective,beweeg-,moving motive locomotive
161,161,2561,stal,4251,noun,stal,stable cowshed corral
162,162,2562,maling,4249,No Google Info,No Google Info,No Google Info
163,163,2563,verdwaald,4247,adjective,verdwaald,stray strayed
164,164,2564,donderdag,4246,noun,donderdag,Thursday
165,165,2565,doorlopen,4243,verb,doorlopen,run run through pass
166,166,2566,advocaten,4242,noun,advocaat,lawyer advocate counsel
167,167,2567,kamers,4241,noun,kamers,chambers apartment quarters
168,168,2568,verzamelen,4236,verb,verzamelen,collect gather assemble
169,169,2569,daarop,4236,adverb,daarop,thereon then thereafter
170,170,2570,duwen,4233,verb,duwen,push shove thrust
171,171,2571,Boston,4232,noun,Boston,Boston
172,172,2572,sport,4229,noun,sport,sport rung spoke
173,173,2573,onbekende,4228,noun,onbekende,unknown stranger unknown person
174,174,2574,onderhandelen,4226,verb,onderhandelen,negotiate bargain treat
175,175,2575,smeris,4225,No Google Info,No Google Info,No Google Info
176,176,2576,opeten,4224,verb,opeten,eat
177,177,2577,waarschuw,4222,No Google Info,No Google Info,No Google Info
178,178,2578,weggegaan,4217,adjective,weggegaan,gone
179,179,2579,zijne,4217,No Google Info,No Google Info,No Google Info
180,180,2580,museum,4216,noun,museum,museum gallery
181,181,2581,geschenk,4212,noun,geschenk,gift present donation
182,182,2582,vertrok,4212,verb,vertrekken,leave depart go
183,183,2583,puur,4210,adjective,puur,pure sheer clean
184,184,2584,eventjes,4205,adverb,eventjes,momentarily
185,185,2585,voort,4199,adverb,voort,on forth forward
186,186,2586,meegaan,4199,verb,meegaan,come go with
187,187,2587,Gordon,4196,No Google Info,No Google Info,No Google Info
188,188,2588,beroemd,4195,adjective,beroemd,famous renowned famed
189,189,2589,gemeenschap,4195,noun,gemeenschap,community communion fellowship
190,190,2590,gevaarlijke,4193,adjective,gevaarlijk,dangerous hazardous risky
191,191,2591,iemands,4193,No Google Info,No Google Info,No Google Info
192,192,2592,briljant,4193,adjective,briljant,brilliant bright
193,193,2593,koude,4192,noun,koude,cold coldness chill
194,194,2594,snelle,4190,adjective,snel,quick fast rapid
195,195,2595,alcohol,4189,noun,alcohol,alcohol spirits liquor
196,196,2596,achterin,4189,No Google Info,No Google Info,No Google Info
197,197,2597,collega's,4188,noun,collega,colleague brother yokefellow
198,198,2598,broeders,4185,noun,broeders,brethren
199,199,2599,gezellig,4183,adjective,gezellig,sociable convivial social
