,Dutch,POS,Translation
900,gedachten,Noun,thoughts
901,derde,Adjective,third
902,rennen,Verb,run
903,namen,Verb,names
904,teken,Noun,sign
905,speelt,Verb,plays
906,stem,Noun,voice
907,bedrijf,Noun,company
908,moe,Adjective,tired
909,tenzij,Conjunction,unless
910,dom,Adjective,stupid
911,vlucht,Noun,flight
912,raak,Verb,hit
913,relatie,Noun,relation
914,lachen,Verb,laugh
915,leuke,Adjective,nice
916,schuldig,Adjective,guilty
917,negen,Numeral,nine
918,tafel,Noun,table
919,sneller,Adjective,faster
920,James,Proper noun,James
921,jong,Adjective,young
922,vanwege,Preposition,because of
923,beide,Determiner,both
924,viel,Verb,fell
925,oog,Noun,eye
926,leek,Verb,seemed
927,gestuurd,Verb,sent
928,lijn,Noun,line
929,grapje,Noun,just kidding
930,komaan,Noun,come on
931,moesten,Auxiliary,had to
932,daarvoor,Adverb,before that
933,onderweg,Adverb,en route
934,lijst,Noun,list
935,vanuit,Preposition,from
936,band,Noun,band
937,gelooft,Verb,believes
938,gemist,Verb,missed
939,sleutel,Noun,key
940,lag,Verb,lay
941,kont,Verb,ass
942,reis,Noun,trip
943,arm,Adjective,arm
944,show,Noun,show
945,vertelt,Verb,tells
946,groep,Noun,group
947,belde,Verb,called
948,zweer,Noun,swear
949,agenten,Noun,agents
950,eer,Conjunction,honor
951,onmogelijk,Adjective,impossible
952,steek,Verb,lurch
953,hel,Noun,hell
954,zwaar,Adjective,heavy
955,tuurlijk,Adjective,sure
956,bevel,Noun,command
957,jonge,Adjective,young
958,kerk,Noun,church
959,huwelijk,Noun,wedding
960,delen,Noun,to share
961,sla,Noun,salad
962,Amerikaanse,Adjective,American
963,wedstrijd,Noun,contest
964,maat,Noun,mate
965,allen,Pronoun,all
966,gebroken,Verb,broken
967,dromen,Noun,to dream
968,direct,Adjective,straight away
969,luitenant,Noun,lieutenant
970,planeet,Noun,planet
971,vooral,Adverb,mainly
972,missie,Noun,mission
973,midden,Adverb,middle
974,gezin,Noun,family
975,gisteravond,Adverb,yesterday evening
976,leiden,Verb,to lead
977,dame,Noun,Lady
978,bericht,Noun,message
979,angst,Noun,fear
980,stierf,Verb,died
981,wagen,Noun,cart
982,blijkbaar,Adjective,evidently
983,kapot,Adjective,Broken
984,zoekt,Verb,searches
985,ziel,Verb,soul
986,positie,Noun,position
987,waarvoor,Adverb,for what
988,respect,Noun,respect
989,wet,Noun,law
990,gesprek,Noun,conversation
991,verleden,Noun,past
992,kost,Verb,costs
993,links,Noun,left
994,witte,Adjective,white
995,ring,Noun,ring
996,da's,Noun,that's
997,regelen,Verb,to arrange
998,computer,Noun,computer
999,dronken,Verb,drunk
