,Rank,French,English,POS
0,1,être,to be; being,"verb, auxiliary verb, noun"
1,2,avoir,to have,"verb, auxiliary verb"
2,3,je,I,personal pronoun
3,4,de,"of, from, by, than, in, with",preposition
4,5,ne,not,adverb
5,6,pas,"not; step, pace","adverb, noun"
6,7,le,"the; him, it (refering to a masculine singular noun)","definite article, personal pronoun"
7,8,la,"the; her, it (refering to a feminine singular noun)","definite article, personal pronoun"
8,9,tu,you,personal pronoun
9,10,vous,"you, yourself",personal pronoun
10,11,il,"he, it",personal pronoun
11,12,et,and,conjunction
12,13,à,"in, to, with",preposition
13,14,un,"a, an; one (used before a masculine singular noun)",indefinite article
14,15,l',the (used instead of ''le'' or ''la'' before nouns that begin with a vowel),"definite article, personal pronoun"
15,16,qui,"who, whom; that, which","relative pronoun, interrogative pronoun"
16,17,aller,to go,verb
17,18,les,the; them (referring to a plural noun),"definite article, personal pronoun"
18,19,en,"in, into, to, as","preposition, personal pronoun, adverb"
19,20,ça,"this, that",demonstrative pronoun
20,21,faire,"to do, make",verb
21,22,tout,"all, everything, any; very, quite","adjective, indefinite adjective, indefinite pronoun, adverb, noun"
22,23,on,"we, you",personal pronoun
23,24,que,that; what; which,"relative pronoun, interrogative pronoun"
24,25,ce,"this, that","demonstrative pronoun, demonstrative adjective"
25,26,une,"a, an; one (used before a feminine singular noun)",indefinite article
26,27,mes,my (used before plural nouns),possessive adjective
27,28,d',"of, from, by, than, in, with (used before a vowel or mute h)",preposition
28,29,pour,for,preposition
29,30,se,"himself, herself, themselves",personal pronoun
30,31,des,some (used before a plural noun),indefinite article
31,32,dire,"to say, tell","verb, noun"
32,33,pouvoir,"can, to be able to","verb, noun"
33,34,vouloir,to want,verb
34,35,mais,but,conjunction
35,36,me,"me, myself",personal pronoun
36,37,nous,"we, us",personal pronoun
37,38,dans,"in, into",preposition
38,39,elle,"she, it (refers to a feminine singular noun)",personal pronoun
39,40,savoir,to know,verb
40,41,du,"(de + le/les) = of the, from the",definite article
41,42,où,"where, that","relative pronoun, interrogative pronoun"
42,43,y,"it, there",personal pronoun
43,44,t',"you, yourself (shortened form used before a vowel)",personal pronoun
44,45,bien,"well, very; good","adverb, noun"
45,46,voir,to see,verb
46,47,plus,more,adverb
47,48,non,no,adverb
48,49,te,"you, yourself",personal pronoun
49,50,mon,my (used before a masculine singular noun),possessive adjective
50,51,au,"at the, to the, in the (contraction of à + le; used with a singular masculine noun)",definite article
51,52,avec,with,preposition
52,53,moi,"I, me",personal pronoun
53,54,si,"yes; if; so, such","adverb, conjunction"
54,55,quoi,"what (exclamatory, interrogative, after preposition)","adjective, relative pronoun, interrogative pronoun"
55,56,devoir,"to have to, must; duty, test","verb, noun"
56,57,oui,yes,adverb
57,58,ils,they (refers to a group of masculine or mixed masculine/feminine nouns),personal pronoun
58,59,comme,"as, like; how, same","conjunction, adverb"
59,60,s',"himself, herself, themselves (variation of ""se"" used before a word starting with a vowel or mute h)","personal pronoun, conjunction"
60,61,venir,"to come, occur",verb
61,62,sur,"on, upon; over (preposition); sour (adjective)","preposition, adjective"
62,63,toi,you,personal pronoun
63,64,ici,here,adverb
64,65,rien,nothing,indefinite pronoun
65,66,lui,"he, him, it, her",personal pronoun
66,67,bon,"good, right, kind; good!; voucher; then","adjective, onomatopoeia, noun, adverb"
67,68,là,"there, here, then",adverb
68,69,suivre,to follow,verb
69,70,pourquoi,why,"adverb, conjunction"
70,71,parler,"to speak, talk",verb
71,72,prendre,"to take, get",verb
72,73,cette,"this, that (feminine singular)",demonstrative adjective
73,74,quand,"when, whenever",conjunction
74,75,alors,then; so; hence,adverb
75,76,une chose,"thing, matter",noun
76,77,par,"per, by, through, out of",preposition
77,78,son,"his, her, its (possessive adjective); sound (noun - le son)",possessive adjective
78,79,croire,"to believe, think",verb
79,80,aimer,"to love, like, be fond of",verb
80,81,falloir,"it is necessary, must, have to",verb
