,Number,Spanish,lemma forms
600,601.0,semanas,semana
601,602.0,coche,coche
602,603.0,peor,peor bien
603,604.0,mucha,mucho
604,605.0,disculpe,disculpar
605,606.0,diré,decir
606,607.0,anoche,anoche
607,608.0,perder,perder
608,609.0,vámonos,ir
609,610.0,nave,nave
610,611.0,cielo,cielo
611,612.0,habrá,haber
612,613.0,orden,orden
613,614.0,segura,seguro
614,615.0,querida,querida querido querer
615,616.0,niña,niña
616,617.0,increíble,increíble
617,618.0,además,además
618,619.0,deben,deber
619,620.0,libro,libro
620,621.0,calle,calle callar
621,622.0,café,café
622,623.0,piensas,pensar
623,624.0,hacemos,hacer
624,625.0,especial,especial
625,626.0,queremos,querer
626,627.0,irme,ir
627,628.0,perfecto,perfecto
628,629.0,buscar,buscar
629,630.0,odio,odio odiar
630,631.0,piensa,pensar
631,632.0,oficina,oficina
632,633.0,hablas,hablar habla
633,634.0,libre,libre
634,635.0,agente,agente
635,637.0,llamar,llamar
636,638.0,mala,malo mala
637,639.0,detrás,detrás
638,640.0,viste,ver
639,641.0,dile,decir
640,642.0,grandes,grande
641,643.0,recuerdas,recordar
642,644.0,real,real
643,645.0,estaban,estar
644,646.0,mía,mío
645,647.0,frente,frente
646,648.0,perdido,perder
647,649.0,llamo,llamar
648,650.0,muertos,muerto
649,651.0,millones,millón
650,652.0,asesino,asesino asesinar
651,653.0,sueño,sueño soñar
652,654.0,quisiera,querer
653,655.0,habría,haber
654,656.0,hará,hacer
655,657.0,viaje,viaje viajar
656,658.0,probablemente,probablemente
657,659.0,resto,resto
658,660.0,estaré,estar
659,661.0,maldición,maldición
660,662.0,lamento,lamento lamentar
661,663.0,muchacho,muchacho
662,664.0,avión,avión
663,665.0,ropa,ropa
664,666.0,fuerza,fuerza forzar
665,667.0,llamado,llamado llamar
666,668.0,oído,oído oír
667,669.0,dado,dado dar
668,670.0,encima,encima
669,671.0,negro,negro
670,672.0,usar,usar
671,673.0,información,información
672,674.0,uds,ustedes
673,675.0,preguntas,preguntar pregunta
674,676.0,tuvo,tener
675,677.0,secreto,secreto
676,678.0,vuelve,volver
677,679.0,miren,mirar
678,680.0,quieras,querer
679,681.0,haría,hacer
680,682.0,acaba,acabar
681,683.0,otras,otro
682,684.0,incluso,incluso
683,685.0,sientes,sentir sentar
684,686.0,deberíamos,deber
685,687.0,haz,hacer haz
686,688.0,decirte,decir
687,689.0,boca,boca
688,690.0,dolor,dolor
689,691.0,baño,baño bañar
690,692.0,adentro,adentro
691,693.0,profesor,profesor
692,694.0,habitación,habitación
693,695.0,daño,daño dañar
694,696.0,tuyo,tuyo
695,697.0,seas,ser
696,698.0,noticias,noticia
697,699.0,demás,demás
698,700.0,querido,querido querer
699,701.0,duro,duro durar
