,Unnamed: 0,Spanish,show,lemma,Translation,SpaCy_POS,SpaCy_Tag,POS
0,2500,campamento,campamento,campamento,camp,NOUN,NOUN,Noun
1,2501,responde,*responde* (responder),responder,reply,VERB,VERB,Verb
2,2502,escuchaste,*escuchaste* (escuchar),escuchar,you listened,VERB,VERB,Verb
3,2503,debiste,*debiste* (deber),deber,you should have,NOUN,NOUN,Noun
4,2504,adios,*adios* (adiós),adiós,bye,NOUN,NOUN,Noun
5,2505,viven,*viven* (vivir),vivir,they live,VERB,VERB,Verb
6,2506,recoger,recoger,recoger,collect,VERB,VERB,Verb
7,2507,preguntarte,*preguntarte* (preguntar),preguntar,ask you,VERB,VERB,Verb
8,2508,compras,*compras* (compra),compra,shopping,NOUN,NOUN,Noun
9,2509,compras,*compras* (comprar),comprar,shopping,NOUN,NOUN,Noun
10,2510,cansada,*cansada* (cansado),cansado,tired,ADJ,ADJ,Adjective
11,2511,cansada,*cansada* (cansar),cansar,tired,ADJ,ADJ,Adjective
12,2512,elegir,elegir,elegir,choose,VERB,VERB,Verb
13,2513,cáncer,cáncer,cáncer,cancer,NOUN,NOUN,Noun
14,2514,servir,servir,servir,serve,VERB,VERB,Verb
15,2515,pata,pata,pata,paw,NOUN,NOUN,Noun
16,2516,huir,huir,huir,flee,VERB,VERB,Verb
17,2517,útil,útil,útil,useful,ADJ,ADJ,Adjective
18,2518,grados,*grados* (grado),grado,degrees,NOUN,NOUN,Noun
19,2519,atacar,atacar,atacar,attack,VERB,VERB,Verb
20,2520,recién,recién,recién,newly,ADV,ADV,Adverb
21,2521,querría,*querría* (querer),querer,I would want,VERB,VERB,Verb
22,2522,guapo,guapo,guapo,handsome,ADJ,ADJ,Adjective
23,2523,alcance,alcance,alcance,scope,NOUN,NOUN,Noun
24,2524,alcance,*alcance* (alcanzar),alcanzar,scope,NOUN,NOUN,Noun
25,2525,dejame,*dejame* (dejar),dejar,let me,VERB,VERB,Verb
26,2526,quedamos,*quedamos* (quedar),quedar,we stay,VERB,VERB,Verb
27,2527,llegará,*llegará* (llegar),llegar,reach,VERB,VERB,Verb
28,2528,seremos,*seremos* (ser),ser,we will be,VERB,VERB,Verb
29,2529,desierto,desierto,desierto,desert,NOUN,NOUN,Noun
30,2530,licencia,licencia,licencia,license,NOUN,NOUN,Noun
31,2531,trató,*trató* (tratar),tratar,deal,VERB,VERB,Verb
32,2532,proceso,proceso,proceso,process,NOUN,NOUN,Noun
33,2533,proceso,*proceso* (procesar),procesar,process,NOUN,NOUN,Noun
34,2534,llevado,*llevado* (llevar),llevar,carried,ADJ,ADJ,Adjective
35,2535,durmiendo,*durmiendo* (dormir),dormir,sleeping,VERB,VERB,Verb
36,2536,tensión,tensión,tensión,strain,NOUN,NOUN,Noun
37,2537,martes,martes,martes,Tuesday,NOUN,NOUN,Noun
38,2538,kilómetros,*kilómetros* (kilómetro),kilómetro,kilometres,NOUN,NOUN,Noun
39,2539,cartera,cartera,cartera,briefcase,NOUN,NOUN,Noun
40,2540,tráfico,tráfico,tráfico,traffic,NOUN,NOUN,Noun
41,2541,guarda,*guarda* (guardar),guardar,guard,VERB,VERB,Verb
42,2542,impresionante,impresionante,impresionante,awesome,ADJ,ADJ,Adjective
43,2543,víctimas,*víctimas* (víctima),víctima,victims,NOUN,NOUN,Noun
44,2544,ricos,*ricos* (rico),rico,rich,ADJ,ADJ,Adjective
45,2545,primeros,*primeros* (primero),primero,first,ADJ,ADJ,Adjective
46,2546,dejamos,*dejamos* (dejar),dejar,we leave,VERB,VERB,Verb
47,2547,tomen,*tomen* (tomar),tomar,take,VERB,VERB,Verb
48,2548,iguales,*iguales* (igual),igual,equal,ADJ,ADJ,Adjective
49,2549,domingo,domingo,domingo,Sunday,NOUN,NOUN,Noun
50,2550,crear,crear,crear,create,VERB,VERB,Verb
51,2551,quedará,*quedará* (quedar),quedar,will remain,VERB,VERB,Verb
52,2552,pérdida,pérdida,pérdida,loss,NOUN,NOUN,Noun
53,2553,extra,extra,extra,extra,ADJ,ADJ,Adjective
54,2554,fuese,*fuese* (ser),ser,was,AUX,AUX,Auxiliary
55,2555,fuese,*fuese* (ir),ir,was,AUX,AUX,Auxiliary
56,2556,confío,*confío* (confiar),confiar,I trust,VERB,VERB,Verb
57,2557,sabido,*sabido* (saber),saber,known,VERB,VERB,Verb
58,2558,análisis,análisis,análisis,analysis,NOUN,NOUN,Noun
59,2559,llegaste,*llegaste* (llegar),llegar,you arrived,VERB,VERB,Verb
60,2560,fría,*fría* (frío),frío,cold,NOUN,NOUN,Noun
61,2561,fría,*fría* (freír),freír,cold,NOUN,NOUN,Noun
62,2562,violencia,violencia,violencia,violence,NOUN,NOUN,Noun
63,2563,mate,*mate* (matar),matar,mate,NOUN,NOUN,Noun
64,2564,mate,mate,mate,mate,NOUN,NOUN,Noun
65,2565,lobo,lobo,lobo,wolf,VERB,VERB,Verb
66,2566,discurso,discurso,discurso,speech,NOUN,NOUN,Noun
67,2567,actor,actor,actor,actor,NOUN,NOUN,Noun
68,2568,orgullo,orgullo,orgullo,pride,NOUN,NOUN,Noun
69,2569,odia,*odia* (odiar),odiar,hate,VERB,VERB,Verb
70,2570,libras,*libras* (libra),libra,pounds,ADJ,ADJ,Adjective
71,2571,libras,*libras* (librar),librar,pounds,ADJ,ADJ,Adjective
72,2572,alli,*alli* (allí),allí,over there,VERB,VERB,Verb
73,2573,agencia,agencia,agencia,agency,NOUN,NOUN,Noun
74,2574,vuelvan,*vuelvan* (volver),volver,come back,VERB,VERB,Verb
75,2575,necesidad,necesidad,necesidad,need,NOUN,NOUN,Noun
76,2576,naves,*naves* (nave),nave,ships,NOUN,NOUN,Noun
77,2577,descubrir,descubrir,descubrir,discover,VERB,VERB,Verb
78,2578,tira,tira,tira,strip,VERB,VERB,Verb
79,2579,tira,*tira* (tirar),tirar,strip,VERB,VERB,Verb
80,2580,resolver,resolver,resolver,solve,VERB,VERB,Verb
81,2581,pondré,*pondré* (poner),poner,I will put,AUX,AUX,Auxiliary
82,2582,volando,*volando* (volar),volar,flying,VERB,VERB,Verb
83,2583,pensamos,*pensamos* (pensar),pensar,we think,VERB,VERB,Verb
84,2584,míos,*míos* (mío),mío,mine,ADJ,ADJ,Adjective
85,2585,errores,*errores* (error),error,mistakes,NOUN,NOUN,Noun
86,2586,celular,celular,celular,cell phone,ADJ,ADJ,Adjective
87,2587,cuantas,*cuantas* (cuanto),cuanto,how many,NOUN,NOUN,Noun
88,2588,verlos,*verlos* (ver),ver,see them,VERB,VERB,Verb
89,2589,ayudarle,*ayudarle* (ayudar),ayudar,help you,VERB,VERB,Verb
90,2590,meter,meter,meter,to put,VERB,VERB,Verb
91,2591,hablaré,*hablaré* (hablar),hablar,I'll talk,VERB,VERB,Verb
92,2592,ésto,*ésto* (esto),esto,this,NOUN,NOUN,Noun
93,2593,buscas,*buscas* (buscar),buscar,you search,ADJ,ADJ,Adjective
94,2594,equivocada,*equivocada* (equivocado),equivocado,wrong,ADJ,ADJ,Adjective
95,2595,equivocada,*equivocada* (equivocar),equivocar,wrong,ADJ,ADJ,Adjective
96,2596,dejan,*dejan* (dejar),dejar,leave,VERB,VERB,Verb
97,2597,vacío,vacío,vacío,empty,ADJ,ADJ,Adjective
98,2598,trabajaba,*trabajaba* (trabajar),trabajar,worked,VERB,VERB,Verb
99,2599,salón,salón,salón,lounge,NOUN,NOUN,Noun
100,2600,motor,motor,motor,engine,NOUN,NOUN,Noun
101,2601,conducir,conducir,conducir,drive,VERB,VERB,Verb
102,2602,compré,*compré* (comprar),comprar,I bought,VERB,VERB,Verb
103,2603,quizas,*quizas* (quizás),quizás,maybe,NOUN,NOUN,Noun
104,2604,den,*den* (dar),dar,den,VERB,VERB,Verb
105,2605,cerrada,*cerrada* (cerrado),cerrado,closed,ADJ,ADJ,Adjective
106,2606,cerrada,*cerrada* (cerrar),cerrar,closed,ADJ,ADJ,Adjective
107,2607,cortar,cortar,cortar,cut,VERB,VERB,Verb
108,2608,crea,*crea* (crear),crear,creates,VERB,VERB,Verb
