,Dutch,Quizlet


0,hen,"*them*
pronoun: them
noun: hen
""Hen zijn hier al een paar dagen."" - They have been here for a few days."


1,stop,"*Stop*
noun: plug, stopper, cork
verb: fuse
Stop alsjeblieft! Please stop!"


2,eigen,"*own*
adjective: own, specific, proper
pronoun: one's own
Mijn eigen stijl is uniek. - My own style is unique."


3,kleine,"*little*
adjective: small, little, short
""Hij heeft een kleine auto."" - He has a small car."


4,hoop,"*heap*
noun: hope, lot, heap
Ik hoop dat ik slaag voor mijn examen. - I hope that I pass my exam."


5,wou,"*wish*
verb: want, like, will
Ik wou dat ik meer tijd had. - I wish I had more time."


6,vermoord,"*murdered*
verb: murder, assassinate, slay
Hij vermoordde de vijand, He murdered the enemy."


7,elke,"*each  *
pronoun: each, any, everyone
Elke dag ga ik naar school. - I go to school every day."


8,krijg,"*get*
noun: war, warfare, arms
Ik krijg een cadeau. - I'm getting a present."


9,horen,"*to belong*
verb: hear, belong, learn
auxiliary verb: should
Ik hoor de klok luiden. - I hear the bell ringing."


10,gelijk,"*directly*
adjective: equal, similar, like
noun: equal
adverb: as, alike, equally
Ik heb gelijk gekregen. - I have been proven right."


11,bijna,"*almost*
adverb: almost, nearly, near
phrase: within an inch
Bijna ben ik klaar met mijn huiswerk. - Almost I am finished with my homework."


12,zouden,"*would*
verb: will, shall
Wij zouden het graag willen weten. - We would like to know."


13,open,"*Open*
adjective: open, clear, overt
adverb: overtly, aboveboard
Ik heb mijn deur opengezet. - I opened my door."


14,orde,"*order*
noun: order, discipline, orderliness
De orde moet worden hersteld. - The order must be restored."


15,begrijp,"*understand*
noun: prehension
""Ik begrijp het niet."" - ""I don't understand it."""


16,hoofd,"*head*
noun: head, principal, chief
Mijn hoofd doet pijn. - My head hurts."


17,gebeurt,"*happens*
verb: happen, be, occur
Er gebeurt veel in de wereld. - A lot is happening in the world."


18,kant,"*side*
noun: side, lace, edge
""Hij stond aan de kant van de weg."" - He was standing by the side of the road."


19,vrienden,"*friends*
noun: kith
Mijn vrienden en ik gaan naar de bioscoop. - My friends and I are going to the movies."


20,houdt,"*holds*
verb: keep, hold, retain
Houdt je vast aan je doelen! - Hold on to your goals!"


21,eigenlijk,"*actually*
adverb: indeed, by rights
adjective: proper
Eigenlijk wil ik naar het strand gaan. - Actually, I want to go to the beach."


22,alsof,"*as if*
conjunction: like, as if, as though
adverb: as
""Het was alsof ik een droom had."" - It was as if I had a dream."


23,pak,"*business suit*
noun: suit, pack, business suit
Hij pakte de bal. - He grabbed the ball."


24,geeft,"*gives*
verb: give, deliver, impart
Hij geeft mij een cadeau - He is giving me a present."


25,politie,"*Police*
noun: police, police force, law
De politie komt om de situatie te onderzoeken. - The police are coming to investigate the situation."


26,precies,"*precisely*
adverb: exactly, just, precisely
adjective: exact, precise, correct
Precies op tijd kwam hij aan. - He arrived precisely on time."


27,wachten,"*to wait*
verb: wait, await, expect
Ik wacht op je antwoord. - I'm waiting for your answer."


28,familie,"*family*
noun: family, kin, tribe
Mijn familie is heel belangrijk voor mij. - My family is very important to me."


