,Unnamed: 0,Number,Romanian,English,Sentence
0,0,1,ca,as,"

Ea se așteaptă ca el să vină. - She is expecting him to come."
1,1,2,eu,I,"

Eu sunt student. - I am a student."
2,2,3,lui,his,"

El i-a dat lui un cadou. - He gave him a gift."
3,3,4,că,that,"

Călătoria mea a fost plină de aventuri.
My journey was full of adventures."
4,4,5,el,he,"

El este un prieten bun. - He is a good friend."
5,5,6,a fost,was,"

A fost o zi ploioasă. It was a rainy day."
6,6,7,pentru,for,"

""Ea a cumpărat această casă pentru a-și crea o viață nouă."" - She bought this house in order to create a new life."
7,7,8,pe,on,"

""Pe cine ai văzut?"" - ""Who did you see?"""
8,8,9,sunt,are,"

Sunt fericită. - I am happy."
9,9,10,cu,with,"

Cu ce ai nevoie? - What do you need?"
10,10,11,ei,they,"

Ei au fost acolo. - They were there."
11,11,12,fie,be,"

Fiecare persoană merită respect. - Everyone deserves respect."
12,12,13,la,at,"

Sunt la magazin. - I am at the store."
13,13,14,una,one,"

Ea are una dintre cele mai frumoase voci. 
She has one of the most beautiful voices."
14,14,15,au,have,"

Ei au mâncat. - They have eaten."
15,15,16,acest,this,"

Acesta este un cadou minunat. - This is a wonderful gift."
16,16,17,de la,from,"

De la mine, vei primi numai dragoste. From me, you will only receive love."
17,17,18,de,by,"

Cel mai bun prieten al meu de ani de zile.My best friend for years."
18,18,19,fierbinte,hot,"

""Apa este fierbinte."" (The water is hot.)"
19,19,20,cuvânt,word,"

Cuvântul meu este lege. - My word is law."
20,20,21,dar,but,"

Dar, eu nu pot veni. But, I cannot come."
21,21,22,ce,what,"

Ce faci? - What are you doing?"
22,22,23,unele,some,"

Unele persoane au preferințe diferite. - Some people have different preferences."
23,23,24,este,is,"

Este o zi frumoasă. - It is a beautiful day."
24,24,25,ea,it,"

Ea este fericită. - She is happy."
25,25,26,tu,you,"

Tu eşti prietenul meu bun. - You are my good friend."
26,26,27,sau,or,"

""Sau poți merge cu autobuzul."" - ""Or you can go by bus."""
27,27,28,a avut,had,"

Ea a avut o zi buna. - She had a good day."
28,28,29,a făcut,the,"

Ea a făcut o cină delicioasă. - She made a delicious dinner."
29,29,30,de,of,"

Eu am de gând să fac asta. - I intend to do this."
30,30,31,la,to,"

Merg la magazin. - I'm going to the store."
31,31,32,și,and,"

Și el a mers acolo. - And he went there."
32,32,33,o,a,"

O sticlă de apă, vă rog. - A bottle of water, please."
33,33,34,în,in,"

În fiecare zi, mă trezesc devreme. - Every day, I wake up early."
34,34,35,noi,we,"

Noi suntem prieteni. - We are friends."
35,35,36,poate,can,"

Poate am rezolvat această problemă. - Maybe I solved this problem."
36,36,37,afară,out,"

Afara este frig. - It's cold outside."
37,37,38,alte,other,"

Alte persoane sunt de acord cu mine. - Other people agree with me."
38,38,39,au fost,were,"

Au fost acolo. - They were there."
39,39,40,care,which,"

Îmi place să fac ceea ce îmi place, indiferent de care sunt consecințele. - I like to do what I like regardless of the consequences."
40,40,41,face,do,"

Făceam un pas înainte. - I was taking a step forward."
41,41,42,lor,their,"

Ei le-au cumpărat pentru ei. - They bought them for themselves."
42,42,43,timp,time,"

Timpul trece repede. - Time passes quickly."
43,43,44,dacă,if,"

Dacă ai nevoie de ajutor, sunt aici pentru tine. - If you need help, I'm here for you."
44,44,45,va,will,"

Va fi o zi frumoasă. It will be a beautiful day."
45,45,46,cum,how,"

""Cum te simți?"" - ""How do you feel?"""
46,46,47,a declarat,said,"

""El a declarat că el este fericit."" - He stated that he is happy."
47,47,48,o,an,"

O vedem mâine. - We will see each other tomorrow."
48,48,49,fiecare,each,"

Fiecare are ceva special. - Everyone has something special."
49,49,50,spune,tell,"

Spune-mi ce vrei să faci. - Tell me what you want to do."
50,50,51,nu,does,"

Nu am înțeles. - I didn't understand."
51,51,52,set,set,"

""Setul meu de chei s-a pierdut."" - My set of keys is lost."
52,52,53,trei,three,"

Trei oameni au mers la magazin. - Three people went to the store."
53,53,54,vrea,want,"

Vreau să mă întorc acasă. - I want to go home."
54,54,55,aer,air,"

Aerul este curat. - The air is clean."
55,55,56,bine,well,"

Sper că te simți bine. - I hope you are feeling well."
56,56,57,"De asemenea,",also,"

De asemenea, mă duc la magazin. - Similarly, I'm going to the store."
57,57,58,juca,play,"

Eu joc fotbal. - I play football."
58,58,59,mic,small,"

Mâncarea este foarte mică. - The food is very small."
59,59,60,capăt,end,"

Capătul drumului este aproape. - The end of the road is near."
60,60,61,pune,put,"

Pune-l pe el să facă asta. - Put him to do it."
61,61,62,home,home,"

Casa mea este acasă. (My home is home.)"
62,62,63,citeste,read,"

Ea citeste cartea. - She is reading the book."
63,63,64,mână,hand,"

Mâna mea este prea mică pentru a ţine lucrurile mari. - My hand is too small to hold big things."
64,64,65,portul,port,"

Portul este foarte frumos. Translation: The harbor is very beautiful."
65,65,66,mare,large,"

Ea are o casă mare. - She has a big house."
66,66,67,scrie,spell,"

Eu scriu o carte. - I am writing a book."
