1,comme,as
2,je,I
3,son,his
4,que,that
5,il,he
6,était,was
7,pour,for
8,sur,on
9,sont,are
10,avec,with
11,ils,they
12,être,be
13,à,at
14,un,one
15,avoir,have
16,ce,this
17,à partir de,from
18,par,by
19,chaud,hot
20,mot,word
21,mais,but
22,que,what
23,certains,some
24,est,is
25,il,it
26,vous,you
27,ou,or
28,eu,had
29,la,the
30,de,of
31,à,to
32,et,and
33,un,a
34,dans,in
35,nous,we
36,boîte,can
37,dehors,out
38,autre,other
39,étaient,were
40,qui,which
41,faire,do
42,leur,their
43,temps,time
44,si,if
45,volonté,will
46,comment,how
47,dit,said
48,un,an
49,chaque,each
50,dire,tell
51,ne,does
52,ensemble,set
53,trois,three
54,vouloir,want
55,air,air
56,bien,well
57,aussi,also
58,jouer,play
59,petit,small
60,fin,end
61,mettre,put
62,maison,home
63,lire,read
64,main,hand
65,port,port
66,grand,large
67,épeler,spell
68,ajouter,add
69,même,even
70,terre,land
71,ici,here
72,il faut,must
73,grand,big
74,haut,high
75,tel,such
76,suivre,follow
77,acte,act
78,pourquoi,why
79,interroger,ask
80,hommes,men
81,changement,change
82,est allé,went
83,lumière,light
84,genre,kind
85,de,off
86,besoin,need
87,maison,house
88,image,picture
89,essayer,try
90,nous,us
91,encore,again
92,animal,animal
93,point,point
94,mère,mother
95,monde,world
96,près de,near
97,construire,build
98,soi,self
99,terre,earth
100,père,father
101,tout,any
102,nouveau,new
103,travail,work
104,partie,part
105,prendre,take
106,obtenir,get
107,lieu,place
108,fabriqué,made
109,vivre,live
110,où,where
111,après,after
112,arrière,back
113,peu,little
114,seulement,only
115,tour,round
116,homme,man
117,année,year
118,est venu,came
119,montrer,show
120,tous,every
121,bon,good
122,moi,me
123,donner,give
124,notre,our
125,sous,under
126,nom,name
127,très,very
128,par,through
129,juste,just
130,forme,form
131,phrase,sentence
132,grand,great
133,penser,think
134,dire,say
135,aider,help
136,faible,low
137,ligne,line
138,différer,differ
139,tour,turn
140,la cause,cause
141,beaucoup,much
142,signifier,mean
143,avant,before
144,déménagement,move
145,droit,right
146,garçon,boy
147,vieux,old
148,trop,too
149,même,same
150,elle,she
151,tous,all
152,là,there
153,quand,when
154,jusqu’à,up
155,utiliser,use
156,votre,your
157,manière,way
158,sur,about
159,beaucoup,many
160,puis,then
161,les,them
162,écrire,write
163,voudrais,would
164,comme,like
165,si,so
166,ces,these
167,son,her
168,long,long
169,faire,make
170,chose,thing
171,voir,see
172,lui,him
173,deux,two
174,a,has
175,regarder,look
176,plus,more
