,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,verdomde,"*damn*
adjective: damned
""Verdomde, ik ben mijn sleutels kwijt!"" - Damn, I've lost my keys!","""Verdomde, ik ben mijn sleutels kwijt!"" - Damn, I've lost my keys!",*damn*,[['damned']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=verdomde,adjective: damned


1,hierheen,"*over here*
adjective: hither
adverb: here, this way, hither
""Kom hierheen!"" - ""Come here!""","""Kom hierheen!"" - ""Come here!""",*over here*,"[['hither'], ['here', 'this way', 'hither']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=hierheen,"adjective: hither
adverb: here, this way, hither"


2,punt,"*point*
noun: point, dot, end
abbreviation: pt.
Ik heb de punt van de les gemist. - I missed the point of the lesson.",Ik heb de punt van de les gemist. - I missed the point of the lesson.,*point*,"[['point', 'dot', 'end', 'stop', 'mark', 'full stop', 'nib', 'peak', 'article', 'toe', 'summit', 'wedge', 'spire', 'prick', 'horn'], ['pt.']]",noun abbreviation,noun abbreviation,https://www.linguee.com/english-dutch/search?source=auto&query=punt,"noun: point, dot, end
abbreviation: pt."


3,toekomst,"*future*
noun: future, hereafter, to-be
De toekomst is onzeker. - The future is uncertain.",De toekomst is onzeker. - The future is uncertain.,*future*,"[['future', 'hereafter', 'to-be']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=toekomst,"noun: future, hereafter, to-be"


4,probeerde,"*attempted*
verb: try, attempt, endeavor
Probeerde ik het een keer, I tried it once.","Probeerde ik het een keer, I tried it once.",*attempted*,"[['try', 'attempt', 'endeavor', 'test', 'sample', 'give it a try', 'prove', 'endeavour']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=probeerde,"verb: try, attempt, endeavor"


5,half,"*half*
noun: half
adverb: parcel
adjective: half-and-half
""Het duurde bijna een half jaar."" - It almost took a half year.","""Het duurde bijna een half jaar."" - It almost took a half year.",*half*,"[['half'], ['parcel'], ['half-and-half']]",noun adverb adjective,noun adverb adjective,https://www.linguee.com/english-dutch/search?source=auto&query=half,"noun: half
adverb: parcel
adjective: half-and-half"


6,leger,"*army*
noun: army, military, host
Het leger is de strijdkracht van het land. 
Translation: The army is the fighting force of the country.","Het leger is de strijdkracht van het land. 
Translation: The army is the fighting force of the country.",*army*,"[['army', 'military', 'host', 'bed', 'lair', 'lie', 'lay', 'home', 'covert', 'haunt', 'kennel', 'lodge']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=leger,"noun: army, military, host"


7,waard,"*worth*
adjective: worth, worthy, expensive
noun: host, innkeeper, landlord
Deze kamer is het waard om te bezoeken. - This room is worth visiting.",Deze kamer is het waard om te bezoeken. - This room is worth visiting.,*worth*,"[['worth', 'worthy', 'expensive'], ['host', 'innkeeper', 'landlord', 'holm', 'feck', 'gospel truth']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=waard,"adjective: worth, worthy, expensive
noun: host, innkeeper, landlord"


