,Spanish,QuizletFinal


0,*dicho* (decir dicho),"*saying*
noun: saying, word, adage.
""El dicho dice: 'Más vale prevenir que lamentar'."" - ""The saying goes: 'Better to prevent than to regret.'"""


1,*nueva* (nuevo nueva),"*new*
adjective: new, fresh, further.
""Ella compró una nueva computadora."" - She bought a new computer."


2,*sabía* (saber),"*knew*
verb: know, realize, taste.
""Ella sabía que él la amaba."" - She knew that he loved her."


3,*muchas* (mucho),"*many*
.
Muchas gracias. - Thank you very much."


4,*dentro*,"*inside*
adverb: within, inside, in
preposition: within, via
adjective: inside.
""Estoy dentro de la casa"" - I am inside the house."


5,*hice* (hacer),"*I did*
verb: do, make, ask.
Hice una tarea, I did a task."


6,*contra*,"*against*
preposition: against, to, opposite
adverb: contra, agin
noun: contra.
""Él luchó contra la injusticia."" - He fought against injustice."


7,*auto*,"*car*
noun: car, auto.
""El auto estaba aparcado en la esquina."" - The car was parked on the corner."


8,*camino* (camino caminar),"*path*
noun: way, road, path.
""El camino a la escuela es muy largo."" - The road to school is very long."


9,*ayuda* (ayuda ayudar),"*aid*
noun: help, aid, assistance.
""Necesito su ayuda para completar esta tarea."" - I need your help to complete this task."


10,*primera* (primero primera),"*first*
noun: bottom gear.
La primera vez que lo vi, me impresionó. - The first time I saw it, it impressed me."


11,*hacia*,"*toward*
preposition: towards, to, toward.
""Ella se dirigió hacia el parque."" - She headed towards the park."


12,*vi* (ver),"*saw*
verb: see, view, watch.
Vi la luna brillando sobre el lago.
I saw the moon shining over the lake."


13,*miedo*,"*fear*
noun: fear, trepidation, apprehension.
Tengo mucho miedo. = I am very afraid."


14,*adiós*,"*bye*
noun: adieu.
Adiós, hasta luego. Goodbye, see you later."


15,*primero*,"*first*
adjective: first, top, early
adverb: first, firstly, first of all
noun: first, leading, leader
: first.
Primero, quiero agradecerte por tu amabilidad. - First, I want to thank you for your kindness."


16,*debería* (deber),"*ought*
auxiliary verb: should, ought.
Debería estudiar más para el examen.

I should study more for the exam."


17,*poder*,"*can*
noun: power, authority, might
verb: be able to, can, may
auxiliary verb: might.
""Puedo hacerlo"" - ""I can do it""."


18,*niños* (niño),"*children*
noun: child, kid, boy.
""Los niños están jugando afuera."" - The children are playing outside."


19,*sería* (ser),"*I would be*
.
Sería mejor si pudiéramos ir al parque. It would be better if we could go to the park."


20,*historia*,"*history*
noun: history, story, tale.
La historia de mi familia es muy interesante.
Translation: The history of my family is very interesting."


21,*hey*,"*hey*
.
""¡Hey! ¿Cómo estás?"" - ""Hey! How are you?"""


22,*mientras*,"*while*
conjunction: while, as, whereas
adverb: as, meanwhile, meantime.
Mientras esperamos, leeremos un libro. - While we wait, we will read a book."


23,*ciudad*,"*city*
noun: city, town.
""La ciudad es muy grande."" - The city is very big."


24,*dijiste* (decir),"*said*
verb: say, tell, speak.
""¿Qué dijiste?"" - ""What did you say?"""


25,*espero* (esperar),"*wait*
phrase: Shall I wait?.
Espero que tengas un buen día. - I hope you have a good day."


26,*cuánto*,"*how much*
phrase: How much?, How many?.
Cuánto cuesta esto? - How much does this cost?"


