,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,nou,"*Well*
adverb: now
Nou, laten we gaan! - Now, let's go!","Nou, laten we gaan! - Now, let's go!",*Well*,[['now']],adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=nou,adverb: now


1,mee,"*along*
noun: mead
adverb: also
Ik ga mee naar huis. - I'm going home with (them).",Ik ga mee naar huis. - I'm going home with (them).,*along*,"[['mead'], ['also']]",noun adverb,noun adverb,https://www.linguee.com/english-dutch/search?source=auto&query=mee,"noun: mead
adverb: also"


2,misschien,"*maybe*
adverb: perhaps, maybe, possibly
Misschien ga ik naar het strand vandaag. - Maybe I'll go to the beach today.",Misschien ga ik naar het strand vandaag. - Maybe I'll go to the beach today.,*maybe*,"[['perhaps', 'maybe', 'possibly', 'perchance']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=misschien,"adverb: perhaps, maybe, possibly"


3,even,"*for a bit*
adverb: equally, momentarily, for a while
Ik ben even naar de winkel gegaan. - I just went to the store.",Ik ben even naar de winkel gegaan. - I just went to the store.,*for a bit*,"[['equally', 'momentarily', 'for a while']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=even,"adverb: equally, momentarily, for a while"


4,iemand,"*someone*
pronoun: someone, anyone, one
noun: person
Iemand heeft me gebeld. - Someone called me.",Iemand heeft me gebeld. - Someone called me.,*someone*,"[['someone', 'anyone', 'one', 'somebody', 'anybody'], ['person']]",pronoun noun,pronoun noun,https://www.linguee.com/english-dutch/search?source=auto&query=iemand,"pronoun: someone, anyone, one
noun: person"


5,komt,"*comes*
verb: come, get, come to
Komt er nog iemand? - Is anyone else coming?",Komt er nog iemand? - Is anyone else coming?,*comes*,"[['come', 'get', 'come to', 'fly into']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=komt,"verb: come, get, come to"


6,niets,"*nothing*
noun: nothing, naught, nil
pronoun: nothing, ought
adjective: none
adverb: none
Ik heb niets gezegd. - I didn't say anything.",Ik heb niets gezegd. - I didn't say anything.,*nothing*,"[['nothing', 'naught', 'nil', 'nought'], ['nothing', 'ought'], ['none'], ['none']]",noun pronoun adjective adverb,noun pronoun adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=niets,"noun: nothing, naught, nil
pronoun: nothing, ought
adjective: none
adverb: none"


7,zei,"*said*
verb: say, tell, put
""Hij zei dat hij moe was,"" He said he was tired.","""Hij zei dat hij moe was,"" He said he was tired.",*said*,"[['say', 'tell', 'put', 'pronounce', 'predicate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=zei,"verb: say, tell, put"


8,hou,"*love*
verb: keep, hold, retain
Hou je van mij? - Do you love me?",Hou je van mij? - Do you love me?,*love*,"[['keep', 'hold', 'retain', 'have', 'handle']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=hou,"verb: keep, hold, retain"


