,PerfFront,PerfBack
0,Jij (is) : *Zijn*,Jij bent geweest
1,Hij (heeft) : *Hebben*,Hij heeft gehad
2,Ik (heeft) : *Moeten*,Ik heb gemoeten
3,Zij (heeft) : *Kunnen*,Zij hebben gekund
4,Jij (is) : *Gaan*,Jij bent gegaan
5,Hij (heeft) : *Doen*,Hij heeft gedaan
6,Zij (heeft) : *Weten*,Zij hebben geweten
7,Ik (is) : *Worden*,Ik ben geworden
8,Zij (heeft) : *Zeggen*,Zij hebben gezegd
9,Hij (heeft) : *Willen*,Hij heeft gewild
10,Hij (none) : *Zullen*,Hij heeft none
11,Hij (is) : *Komen*,Hij heeft gekomen
12,Jij (heeft) : *Zitten*,Jij hebt gezeten
13,Hij (heeft) : *Maken*,Hij heeft gemaakt
14,Zij (heeft) : *Staan*,Zij hebben gestaan
15,Ik (heeft) : *Zien*,Ik heb gezien
16,Zij (heeft) : *Kijken*,Zij hebben gekeken
17,Jij (heeft) : *Mogen*,Jij hebt gemogen
18,Jij (heeft) : *Laten*,Jij hebt gelaten
19,Jij (heeft) : *Denken*,Jij hebt gedacht
20,Hij (heeft) : *Krijgen*,Hij heeft gekregen
21,Ik (heeft) : *Vinden*,Ik heb gevonden
22,Ik (heeft) : *Leven*,Ik heb geleefd
23,Ik (heeft) : *Vragen*,Ik heb gevraagd
24,Ik (heeft) : *Geven*,Ik heb gegeven
25,Jij (heeft) : *Werken*,Jij hebt gewerkt
26,Ik (heeft) : *Lezen*,Ik heb gelezen
27,Ik (is) : *Blijven*,Ik ben gebleven
28,Zij (heeft) : *Bestaan*,Zij hebben bestaan
29,Ik (heeft) : *Liggen*,Ik heb gelegen
30,Hij (is) : *Blijken*,Hij is gebleken
31,Ik (heeft) : *Houden*,Ik heb gehouden
32,Zij (heeft) : *Kosten*,Zij hebben gekost
33,Zij (heeft) : *Geloven*,Zij hebben geloofd
34,Hij (heeft) : *Nemen*,Hij heeft genomen
